UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
224746686,604002,2024-04-25 11:04:53,2024-06-03 12:02:24,Racławicka / Rymarska,.RELOKACYJNA,56218
225516825,604464,2024-04-29 19:18:27,2024-06-03 11:57:42,Poza stacją,.RELOKACYJNA,49959
226230400,603274,2024-05-03 13:13:29,2024-06-03 11:56:59,Sienkiewicza / Wyszyńskiego,.RELOKACYJNA,44564
227612982,602947,2024-05-10 21:26:02,2024-06-03 12:02:12,Wałbrzyska - pętla tramwajowa,.RELOKACYJNA,33996
227809700,602301,2024-05-11 22:52:42,2024-06-03 11:57:13,Obornicka / Bałtycka,.RELOKACYJNA,32465
229424197,602807,2024-05-20 20:15:16,2024-06-03 11:57:27,Jagodzińska / Buforowa,.RELOKACYJNA,19662
229485651,602426,2024-05-21 09:32:17,2024-06-03 11:56:46,Śrubowa / Strzegomska,.RELOKACYJNA,18864
229496349,604385,2024-05-21 11:00:21,2024-06-03 08:48:07,.RELOKACYJNA 2024,.RELOKACYJNA 2024,18588
230882020,602643,2024-05-28 17:31:56,2024-06-03 02:35:54,Dyrekcyjna / Borowska (Wroclavia),Jagodzińska / Buforowa,7744
231133646,603140,2024-05-29 21:11:53,2024-06-03 12:02:00,Grabiszyńska / Magazynierska (Corte Verona),.RELOKACYJNA,6650
231182335,603077,2024-05-30 09:30:10,2024-06-03 11:57:38,Rynek,Rynek,5907
231320419,652010,2024-05-30 22:41:41,2024-06-03 14:01:58,Grabiszyńska / Stalowa,Poza stacją,5240
231466948,604543,2024-05-31 19:18:13,2024-06-03 14:03:00,Kościuszki / Komuny Paryskiej / Zgodna,Kościuszki / Komuny Paryskiej / Zgodna,4005
231639696,602774,2024-06-01 20:50:23,2024-06-03 14:04:41,Bałtycka / Żmigrodzka,Poza stacją,2474
231751180,602717,2024-06-02 17:01:31,2024-06-03 05:44:39,Zwycięska / Ołtaszyńska,Grota-Roweckiego / Parafialna,763
231774956,603100,2024-06-02 19:03:26,2024-06-03 02:29:43,"Dworzec Główny, południe",Jagodzińska / Buforowa,446
231805162,602571,2024-06-02 22:48:02,2024-06-03 08:48:23,Zachodnia / Poznańska,Zachodnia / Poznańska,600
231807983,603265,2024-06-02 23:35:18,2024-06-03 00:34:49,Drobnera / Dubois,pl. Powstańców Wielkopolskich,60
231808178,602904,2024-06-02 23:40:02,2024-06-03 00:00:41,al. Brücknera / Kwidzyńska,Zatorska / Królewska - pętla MPK,21
231808444,604653,2024-06-02 23:45:30,2024-06-03 00:03:02,Powstańców Śląskich/Orla,Plac Uniwersytecki (UWr),18
231808450,602515,2024-06-02 23:45:41,2024-06-03 00:05:50,al. Armii Krajowej / Bardzka,Kamienna / Borowska (Aquapark),20
231808617,604495,2024-06-02 23:49:09,2024-06-03 00:01:21,Kościuszki / Pułaskiego,Jagiełły / Dmowskiego ,12
231808623,602971,2024-06-02 23:49:13,2024-06-03 00:05:55,Powstańców Śląskich/Orla,Kościuszki / Komuny Paryskiej / Zgodna,17
231808775,603823,2024-06-02 23:52:58,2024-06-03 00:01:43,Gazowa / Międzyleska,Świeradowska (Ferio Gaj ),9
231808840,603040,2024-06-02 23:54:46,2024-06-03 00:00:55,Zwycięska / Ołtaszyńska,Ślężna / pętla tramwajowa,6
231808860,603661,2024-06-02 23:55:16,2024-06-03 00:02:36,Obornicka / Bałtycka,Berenta / Kasprowicza,7
231808879,602944,2024-06-02 23:55:35,2024-06-03 00:00:00,Grabiszyńska / Aleja Hallera,Grabiszyńska / Stalowa,4
231808953,604216,2024-06-02 23:57:15,2024-06-03 00:04:05,Zaporoska / Grabiszyńska,Grabiszyńska / Stalowa,7
231809006,603258,2024-06-02 23:58:45,2024-06-03 00:04:17,Promenady Wrocławskie,Jedności Narodowej / Wyszyńskiego,6
231809054,602317,2024-06-02 23:59:59,2024-06-03 00:07:37,Kazimierza Wielkiego (Helios),Legnicka / Młodych Techników,8
231809058,602230,2024-06-03 00:00:04,2024-06-03 00:07:33,Legnicka (Park Magnolia),Lotnicza / Na Ostatnim Groszu,7
231809060,603735,2024-06-03 00:00:08,2024-06-03 00:02:52,Pereca / Grabiszyńska,Poza stacją,3
231809072,602864,2024-06-03 00:00:18,2024-06-03 00:07:45,Kazimierza Wielkiego (Helios),Legnicka / Młodych Techników,7
231809119,603636,2024-06-03 00:01:34,2024-06-03 00:12:15,Ślężna / pętla tramwajowa,Komandorska / Kamienna,11
231809125,604143,2024-06-03 00:01:44,2024-06-03 00:12:14,Drobnera / Plac Bema,Plac Dominikański (Galeria Dominikańska),11
231809138,603944,2024-06-03 00:01:59,2024-06-03 00:03:49,Drobnera / Plac Bema,Drobnera / Plac Bema,2
231809146,603335,2024-06-03 00:02:12,2024-06-03 00:12:07,Drobnera / Plac Bema,Plac Dominikański (Galeria Dominikańska),10
231809167,604642,2024-06-03 00:02:54,2024-06-03 00:06:16,Tyrmanda / Trawowa,Tyrmanda / Mińska,3
231809212,604653,2024-06-03 00:03:54,2024-06-03 00:12:34,Plac Uniwersytecki (UWr),Promenady Wrocławskie,9
231809223,602793,2024-06-03 00:04:09,2024-06-03 00:12:07,Drobnera / Plac Bema,Plac Dominikański (Galeria Dominikańska),8
231809270,603507,2024-06-03 00:05:14,2024-06-03 00:16:41,Partyzantów / Okrzei,Bacciarellego / pętla autobusowa,11
231809360,603753,2024-06-03 00:07:31,2024-06-03 00:21:01,Komandorska / Kamienna,"Dworzec Główny, południe",14
231809384,603236,2024-06-03 00:07:54,2024-06-03 00:17:26,Legnicka / Młodych Techników,Legnicka (Park Magnolia),10
231809394,604050,2024-06-03 00:08:03,2024-06-03 00:14:54,Stabłowicka / Główna ,Poza stacją,7
231809395,604579,2024-06-03 00:08:04,2024-06-03 00:17:39,Legnicka / Młodych Techników,Legnicka (Park Magnolia),10
231809446,602882,2024-06-03 00:09:35,2024-06-03 00:21:33,Plac Grunwaldzki (DS Ołówek),Drobnera / Plac Bema,12
231809461,603379,2024-06-03 00:10:04,2024-06-03 00:21:35,Plac Grunwaldzki (DS Ołówek),Drobnera / Plac Bema,12
231809463,603575,2024-06-03 00:10:10,2024-06-03 00:10:57,Plac Uniwersytecki (UWr),Plac Uniwersytecki (UWr),1
231809489,602648,2024-06-03 00:11:13,2024-06-03 00:19:26,Plac Uniwersytecki (UWr),Poniatowskiego / Oleśnicka,8
