UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
232651993,602514,2024-06-07 08:44:35,2024-06-08 09:36:10,Dworzec Główny ,Poza stacją,1492
232667604,602702,2024-06-07 10:34:49,2024-06-08 13:58:02,Sienkiewicza / Piastowska,Poza stacją,1643
232709996,604094,2024-06-07 14:20:47,2024-06-08 23:26:02,Kozanowska/Pałucka,Kozanowska/Pałucka,1985
232716752,602795,2024-06-07 14:49:53,2024-06-08 10:13:33,Kopycińskiego/Drabika,Kopycińskiego/Drabika,1164
232743947,603209,2024-06-07 16:43:14,2024-06-08 15:30:03,al. Kochanowskiego / Kopernika,Berenta / Kasprowicza,1367
232748702,602995,2024-06-07 17:00:47,2024-06-08 00:38:27,Kamienna / Tomaszowska,Janiszewskiego (PWr),458
232784996,603517,2024-06-07 19:11:45,2024-06-08 09:43:54,Dworzec Główny ,Bardzka / Piękna,872
232796612,602078,2024-06-07 19:56:34,2024-06-08 00:24:02,Legnicka (Park Magnolia),Mrągowska / Rolna,267
232800241,603741,2024-06-07 20:11:07,2024-06-08 18:37:14,Piłsudskiego 13 od Jump Hall,Dyrekcyjna / Borowska (Wroclavia),1346
232809490,603838,2024-06-07 20:51:04,2024-06-08 00:14:30,Łukasiewicza / Smoluchowskiego (PWr),Poza stacją,203
232810756,603363,2024-06-07 20:56:54,2024-06-08 03:01:47,Poza stacją,Poza stacją,365
232820503,604487,2024-06-07 21:48:08,2024-06-08 02:07:44,"Dworzec Główny, południe",Powstańców Śląskich/Orla,260
232820570,602047,2024-06-07 21:48:28,2024-06-08 02:07:48,"Dworzec Główny, południe",Powstańców Śląskich/Orla,259
232820710,603249,2024-06-07 21:49:17,2024-06-08 02:18:31,"Dworzec Główny, południe",Zaporoska / Wielka / Krucza,269
232823366,602969,2024-06-07 22:05:06,2024-06-08 10:58:56,Krzywoustego / Korona,Żmigrodzka / Broniewskiego,774
232832106,603895,2024-06-07 23:00:11,2024-06-08 00:06:20,Wróblewskiego (ZOO),Hermanowska / Kołobrzeska,66
232832320,603758,2024-06-07 23:01:36,2024-06-08 09:19:24,Legnicka / Młodych Techników,Legnicka / Wejherowska,618
232835011,602461,2024-06-07 23:20:34,2024-06-08 16:24:48,Plac Powstańców Warszawy (Muzeum Narodowe),Śrubowa / Strzegomska,1024
