UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
181388916,602245,2023-05-23 23:43:36,2023-05-24 00:00:22,Kamienna / Borowska (Aquapark),Aleja Hallera / Mielecka,17
181387394,603898,2023-05-23 23:12:58,2023-05-24 00:00:31,Racławicka / Rymarska,Grabiszyńska / Aleja Hallera,48
181389176,603337,2023-05-23 23:48:59,2023-05-24 00:00:33,Olszewskiego / Spółdzielcza,Rondo Reagana,12
181389393,603085,2023-05-23 23:54:15,2023-05-24 00:01:36,Sienkiewicza / Wyszyńskiego,al. Kochanowskiego / Kopernika,8
181389346,602606,2023-05-23 23:53:07,2023-05-24 00:01:47,"Dworzec Główny, południe",Zaporoska / Gajowicka,9
181389407,603512,2023-05-23 23:54:28,2023-05-24 00:02:02,Sienkiewicza / Wyszyńskiego,al. Kochanowskiego / Kopernika,8
181389680,603898,2023-05-24 00:01:24,2023-05-24 00:02:21,Grabiszyńska / Aleja Hallera,Grabiszyńska / Aleja Hallera,1
181389205,602577,2023-05-23 23:49:37,2023-05-24 00:02:26,Dworzec Główny ,Poza stacją,13
181389426,602890,2023-05-23 23:54:47,2023-05-24 00:02:30,Grabiszyńska / Aleja Hallera,Klecińska / Duńska,8
181389054,602403,2023-05-23 23:46:14,2023-05-24 00:02:45,Plac Powstańców Śląskich,Zachodnia / Poznańska,17
181389089,602856,2023-05-23 23:46:57,2023-05-24 00:03:39,Zaporoska / Gajowicka,Krzycka / Aleja Karkonoska (Park Południowy),17
181389297,602156,2023-05-23 23:51:53,2023-05-24 00:03:41,Kopycińskiego/Drabika,al. Armii Krajowej / Bardzka,12
181389288,602473,2023-05-23 23:51:39,2023-05-24 00:03:49,Kopycińskiego/Drabika,al. Armii Krajowej / Bardzka,13
181389687,603713,2023-05-24 00:01:33,2023-05-24 00:04:24,pl. Powstańców Wielkopolskich,Kraszewskiego / Trzebnicka,3
181389299,604276,2023-05-23 23:51:55,2023-05-24 00:04:43,Jagiełły / Dmowskiego ,pl. Powstańców Wielkopolskich,13
181389303,602639,2023-05-23 23:52:00,2023-05-24 00:04:48,Jagiełły / Dmowskiego ,pl. Powstańców Wielkopolskich,13
181388645,602195,2023-05-23 23:37:06,2023-05-24 00:05:10,Krucza / Mielecka / Stalowa,Plac Strzegomski / Poznańska,29
181389650,604355,2023-05-24 00:00:37,2023-05-24 00:05:13,Piaskowa / św. Ducha,Żeromskiego / Kluczborska,5
181388566,604561,2023-05-23 23:35:27,2023-05-24 00:05:44,Krucza / Mielecka / Stalowa,Plac Strzegomski / Poznańska,31
181389133,603064,2023-05-23 23:48:06,2023-05-24 00:05:56,Kościuszki / Komuny Paryskiej / Zgodna,Opolska / pętla tramwajowa,18
181389770,603898,2023-05-24 00:03:22,2023-05-24 00:06:09,Grabiszyńska / Aleja Hallera,Grabiszyńska / Magazynierska (Corte Verona),3
181389528,602801,2023-05-23 23:57:16,2023-05-24 00:06:40,Kazimierza Wielkiego (Helios),Drobnera / Plac Bema,10
181389539,603322,2023-05-23 23:57:37,2023-05-24 00:06:42,Kazimierza Wielkiego (Helios),Drobnera / Plac Bema,10
181389471,603245,2023-05-23 23:56:01,2023-05-24 00:06:50,Ślężna / Kamienna (Uniw. Ekonomiczny),Poza stacją,11
181389737,602631,2023-05-24 00:02:48,2023-05-24 00:07:02,Klecińska / Duńska,Strzegomska / Estońska,5
181389390,603345,2023-05-23 23:54:11,2023-05-24 00:07:35,Wróblewskiego (Teki),"Olszewskiego, pętla tramwajowa",14
181389398,603912,2023-05-23 23:54:20,2023-05-24 00:07:39,Wróblewskiego (Teki),"Olszewskiego, pętla tramwajowa",14
181389709,604566,2023-05-24 00:02:09,2023-05-24 00:07:51,Legnicka / Zachodnia ,Legnicka / Zachodnia ,6
181389582,602281,2023-05-23 23:58:42,2023-05-24 00:08:14,Wróblewskiego (Teki),"Olszewskiego, pętla tramwajowa",10
181389386,602192,2023-05-23 23:54:08,2023-05-24 00:08:25,Wróblewskiego (Teki),"Olszewskiego, pętla tramwajowa",15
181389807,602322,2023-05-24 00:04:05,2023-05-24 00:11:05,Poza stacją,Krakowska / Leroy Merlin,7
181389490,602202,2023-05-23 23:56:35,2023-05-24 00:11:59,Rondo Reagana,Krakowska / Leroy Merlin,16
181389879,602073,2023-05-24 00:06:17,2023-05-24 00:12:19,Stacyjna (Dworzec Mikołajów),Plac Strzegomski / Poznańska,7
181389905,603898,2023-05-24 00:07:01,2023-05-24 00:12:32,Grabiszyńska / Magazynierska (Corte Verona),Grabiszyńska / Stalowa,6
181389402,602934,2023-05-23 23:54:22,2023-05-24 00:12:56,Wróblewskiego (Teki),"Olszewskiego, pętla tramwajowa",19
181389857,604581,2023-05-24 00:05:38,2023-05-24 00:13:05,Dyrekcyjna / Borowska (Wroclavia),Plac Powstańców Śląskich,8
181386777,603546,2023-05-23 23:02:43,2023-05-24 00:14:23,Sienkiewicza / Wyszyńskiego,Drobnera / Plac Bema,72
181389676,603057,2023-05-24 00:01:17,2023-05-24 00:14:57,Świeradowska (Ferio Gaj ),Tarnogajska / Klimasa,14
181389663,603337,2023-05-24 00:01:07,2023-05-24 00:16:08,Rondo Reagana,al. Armii Krajowej / Borowska,16
181389979,603395,2023-05-24 00:09:05,2023-05-24 00:16:39,Gajowicka,Hallera / Odkrywców,8
181390263,604367,2023-05-24 00:16:36,2023-05-24 00:17:46,Poza stacją,Poza stacją,2
181389952,602841,2023-05-24 00:08:27,2023-05-24 00:18:05,Traktatowa (przystanek kolejowy),Plac Strzegomski / Poznańska,10
181389567,602849,2023-05-23 23:58:23,2023-05-24 00:18:18,Poza stacją,Aleja Hallera / Mielecka,20
181390052,603989,2023-05-24 00:10:59,2023-05-24 00:18:23,Zaporoska / Wielka / Krucza,Gajowicka,8
181389813,602856,2023-05-24 00:04:12,2023-05-24 00:18:37,Krzycka / Aleja Karkonoska (Park Południowy),Hallera / Odkrywców,15
181390220,603057,2023-05-24 00:15:28,2023-05-24 00:18:43,Tarnogajska / Klimasa,Poza stacją,4
181389917,602175,2023-05-24 00:07:23,2023-05-24 00:18:45,Strzegomska / Estońska,Nowodworska/Strzegomska,12
181390167,603898,2023-05-24 00:13:59,2023-05-24 00:19:01,Grabiszyńska / Stalowa,Zaporoska / Grabiszyńska,6
181389972,603524,2023-05-24 00:08:54,2023-05-24 00:19:25,Norwida / Wyspiańskiego (PWr),Walońska (Angel Poland Group),11
