UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
176185885,604352,2023-04-18 23:59:54,2023-04-19 00:00:28,Plac Jana Pawła II (Akademia Muzyczna),Plac Jana Pawła II (Akademia Muzyczna),1
176185556,602719,2023-04-18 23:50:18,2023-04-19 00:01:23,Wróblewskiego (Teki),Wyszyńskiego / Szczytnicka,12
176185550,602377,2023-04-18 23:49:53,2023-04-19 00:01:27,Wróblewskiego (Teki),Wyszyńskiego / Szczytnicka,12
176185709,602603,2023-04-18 23:54:19,2023-04-19 00:02:22,Grabiszyńska / Aleja Hallera,Klecińska / Duńska,9
176185802,604011,2023-04-18 23:57:01,2023-04-19 00:02:49,Kamienna / Borowska (Aquapark),Nyska / Jesionowa,6
176184672,602174,2023-04-18 23:27:24,2023-04-19 00:04:04,Aleja Hallera / Mielecka,Plac Strzegomski / Poznańska,37
176184663,603764,2023-04-18 23:27:17,2023-04-19 00:04:09,Aleja Hallera / Mielecka,Plac Strzegomski / Poznańska,37
176185816,603092,2023-04-18 23:57:27,2023-04-19 00:04:23,Kamienna / Borowska (Aquapark),Ślężna / Aleja Wiśniowa,7
176185879,603709,2023-04-18 23:59:40,2023-04-19 00:04:36,Plac Świętego Macieja / Trzebnicka,Reymonta / Kleczkowska,5
176185807,603015,2023-04-18 23:57:10,2023-04-19 00:08:04,Rynek,Poniatowskiego / Oleśnicka,11
176185817,602656,2023-04-18 23:57:27,2023-04-19 00:08:08,Rynek,Poniatowskiego / Oleśnicka,11
176185822,602428,2023-04-18 23:57:38,2023-04-19 00:09:15,Rynek,Dyrekcyjna / Borowska (Wroclavia),12
176186014,602322,2023-04-19 00:03:42,2023-04-19 00:10:02,Janiszewskiego (PWr),Traugutta / Pułaskiego,7
176185321,602723,2023-04-18 23:43:23,2023-04-19 00:10:16,Legnicka (Park Magnolia),Kurkowa / Dubois,27
176185852,603400,2023-04-18 23:58:47,2023-04-19 00:11:41,al. Karkonoska / Jeździecka,Poza stacją,13
176186049,603092,2023-04-19 00:04:54,2023-04-19 00:12:39,Ślężna / Aleja Wiśniowa,Aleja Hallera / Mielecka,8
