UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
180879417,604492,2023-05-20 23:46:49,2023-05-21 00:00:00,Wróblewskiego (ZOO),Bacciarellego,14
180879943,604447,2023-05-20 23:52:34,2023-05-21 00:00:30,"Dworzec Główny, południe",Zaporoska / Grabiszyńska,8
180879416,602825,2023-05-20 23:46:48,2023-05-21 00:00:35,Plac Dominikański (Galeria Dominikańska),Bardzka / Piękna,14
180880261,602744,2023-05-20 23:56:36,2023-05-21 00:00:43,al. Karkonoska / Jeździecka,al. Karkonoska / Jeździecka,5
180879132,604131,2023-05-20 23:43:50,2023-05-21 00:00:44,Aleja Kromera,Koszarowa / UWr,17
180879714,604229,2023-05-20 23:50:01,2023-05-21 00:00:54,Ślężna / Kamienna (Uniw. Ekonomiczny),Kamienna / Tomaszowska,11
180879870,602251,2023-05-20 23:51:44,2023-05-21 00:00:57,Konduktorska,al. Armii Krajowej / Bardzka,10
180879038,603671,2023-05-20 23:42:42,2023-05-21 00:00:58,Wałbrzyska - pętla tramwajowa,Poza stacją,19
180879884,604083,2023-05-20 23:51:57,2023-05-21 00:01:08,Poza stacją,Pereca / Grabiszyńska,10
180879851,602167,2023-05-20 23:51:30,2023-05-21 00:01:12,Konduktorska,al. Armii Krajowej / Bardzka,10
180879264,603799,2023-05-20 23:45:10,2023-05-21 00:01:19,Plac Strzegomski / Poznańska,Legnicka / Zachodnia ,17
180880032,603001,2023-05-20 23:53:39,2023-05-21 00:01:29,Powstańców Śląskich/Orla,Przyjaźni / Karkonoska,8
180879618,603614,2023-05-20 23:49:03,2023-05-21 00:01:33,Szczęśliwa (Sky Tower),Grabiszyńska / Aleja Hallera,13
180873319,602426,2023-05-20 22:43:30,2023-05-21 00:01:36,Dworzec Główny ,Poniatowskiego / Oleśnicka,79
180879029,603281,2023-05-20 23:42:37,2023-05-21 00:01:37,Legnicka / Wejherowska,Lotnicza / Bajana,19
180879046,602211,2023-05-20 23:42:46,2023-05-21 00:01:42,Legnicka / Wejherowska,Lotnicza / Bajana,19
180879289,602723,2023-05-20 23:45:29,2023-05-21 00:01:42,Rynek,Chałubińskiego / Mikulicza-Radeckiego,17
180880039,603157,2023-05-20 23:53:52,2023-05-21 00:01:43,Powstańców Śląskich/Orla,Przyjaźni / Karkonoska,8
180879933,604163,2023-05-20 23:52:28,2023-05-21 00:01:44,"Dworzec Główny, południe",Zaporoska / Grabiszyńska,10
180865750,603512,2023-05-20 21:38:36,2023-05-21 00:02:02,pl. Orląt Lwowskich,Piłsudskiego 13 od Jump Hall,144
180879263,603716,2023-05-20 23:45:10,2023-05-21 00:02:32,Bacciarellego / pętla autobusowa,Partyzantów / Okrzei,18
180879865,602407,2023-05-20 23:51:40,2023-05-21 00:02:36,Dworzec Główny ,Zaporoska / Grabiszyńska,11
180880322,602425,2023-05-20 23:57:21,2023-05-21 00:02:37,Na Ostatnim Groszu,Na Ostatnim Groszu,6
180880056,602271,2023-05-20 23:54:07,2023-05-21 00:03:04,Drobnera / Dubois,Nowowiejska / Jedności Narodowej,9
180880787,603755,2023-05-21 00:02:41,2023-05-21 00:03:05,Dyrekcyjna / Borowska (Wroclavia),Dyrekcyjna / Borowska (Wroclavia),1
180880321,602096,2023-05-20 23:57:21,2023-05-21 00:03:10,Plac Powstańców Warszawy (Muzeum Narodowe),Walońska (Angel Poland Group),6
180880771,603328,2023-05-21 00:02:33,2023-05-21 00:03:11,Plac Dominikański (Galeria Dominikańska),Plac Dominikański (Galeria Dominikańska),1
180879903,604540,2023-05-20 23:52:12,2023-05-21 00:03:15,Plac Dominikański (Galeria Dominikańska),Plac Dominikański (Galeria Dominikańska),12
180880301,602085,2023-05-20 23:57:10,2023-05-21 00:03:33,Legnicka / Młodych Techników,Legnicka / Zachodnia ,7
180879876,603023,2023-05-20 23:51:50,2023-05-21 00:03:36,Plac Powstańców Warszawy (Muzeum Narodowe),Jagiełły / Dmowskiego ,12
180878652,604242,2023-05-20 23:38:33,2023-05-21 00:03:43,Plac Jana Pawła II (Akademia Muzyczna),Graniczna / Strzegomska,26
180879816,602637,2023-05-20 23:51:06,2023-05-21 00:03:44,Plac Powstańców Warszawy (Muzeum Narodowe),Rynek,13
180880291,602439,2023-05-20 23:56:59,2023-05-21 00:03:46,Legnicka / Młodych Techników,Legnicka / Zachodnia ,7
180880532,604445,2023-05-20 23:59:43,2023-05-21 00:03:47,Legnicka / Młodych Techników,Legnicka / Zachodnia ,5
180879031,602994,2023-05-20 23:42:38,2023-05-21 00:03:54,Plac Dominikański (Galeria Dominikańska),Wróblewskiego (Teki),22
180880259,603442,2023-05-20 23:56:36,2023-05-21 00:03:56,al. Karkonoska / Jeździecka,Przyjaźni / Karkonoska,8
180642055,602205,2023-05-19 15:47:30,2023-05-21 00:04:13,Grota-Roweckiego/Iwaszkiewicza,Przyjaźni / Karkonoska,1937
180880333,602216,2023-05-20 23:57:27,2023-05-21 00:04:35,Strzegomska / Estońska,Tyrmanda / Mińska,8
