UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
197337666,602502,2023-08-29 23:43:26,2023-08-30 00:01:36,Reymonta / Kleczkowska,Sienkiewicza / Piastowska,19
197337241,603435,2023-08-29 23:33:02,2023-08-30 00:02:19,Gnieźnieńska / Długa,Kościuszki / Komuny Paryskiej / Zgodna,30
197337598,602213,2023-08-29 23:41:53,2023-08-30 00:02:56,Poniatowskiego / Oleśnicka,Poza stacją,22
197337950,602178,2023-08-29 23:50:22,2023-08-30 00:03:32,Plac Grunwaldzki (DS Ołówek),Nowowiejska / Górnickiego,14
197337970,602186,2023-08-29 23:50:47,2023-08-30 00:03:57,Powstańców Śląskich (Arkady Wrocławskie),Plac Uniwersytecki (UWr),14
197338211,604555,2023-08-29 23:57:02,2023-08-30 00:04:04,Kamieńskiego / Jutrosińska,Kamieńskiego,8
197338064,602063,2023-08-29 23:52:53,2023-08-30 00:04:29,Dyrekcyjna / Borowska (Wroclavia),Tarnogajska / Klimasa,12
197337957,603969,2023-08-29 23:50:34,2023-08-30 00:04:42,Kurkowa / Dubois,Drobnera / Dubois,15
197338153,602459,2023-08-29 23:55:24,2023-08-30 00:05:27,Kamienna / Borowska (Aquapark),Plac Powstańców Śląskich,11
197337953,603981,2023-08-29 23:50:28,2023-08-30 00:05:33,Plac Uniwersytecki (UWr),Zaporoska / Grabiszyńska,16
197338239,603890,2023-08-29 23:57:45,2023-08-30 00:06:32,Bałtycka / Żmigrodzka,Poza stacją,9
197337938,603788,2023-08-29 23:50:05,2023-08-30 00:07:53,Plac Kościuszki (Renoma),Młodych Techników,18
197338119,603962,2023-08-29 23:54:36,2023-08-30 00:07:55,Traugutta / Kościuszki,Janiszewskiego (PWr),14
197338249,603396,2023-08-29 23:58:06,2023-08-30 00:09:05,Poza stacją,Plac Powstańców Śląskich,11
197338540,604442,2023-08-30 00:08:42,2023-08-30 00:09:05,Hubska / Prudnicka,Hubska / Prudnicka,1
197338525,602657,2023-08-30 00:07:56,2023-08-30 00:10:08,Plac Uniwersytecki (UWr),Wita Stwosza / Szewska,3
197338170,602377,2023-08-29 23:55:54,2023-08-30 00:10:29,Świeradowska (Ferio Gaj ),Komandorska / Sanocka,15
197338417,602064,2023-08-30 00:04:07,2023-08-30 00:12:14,Plac Uniwersytecki (UWr),pl. Powstańców Wielkopolskich,9
197338389,602470,2023-08-30 00:03:28,2023-08-30 00:12:33,Bierutowska,Gorlicka / Litewska,10
197338602,602849,2023-08-30 00:10:45,2023-08-30 00:12:50,Piaskowa / św. Ducha,Piaskowa / św. Ducha,3
197337455,602094,2023-08-29 23:38:24,2023-08-30 00:14:45,Plac Jana Pawła II (Akademia Muzyczna),Rogowska / Zemska,37
197338251,602457,2023-08-29 23:58:07,2023-08-30 00:16:55,Kazimierza Wielkiego (Helios),Legnicka (Park Magnolia),19
197338405,604060,2023-08-30 00:03:51,2023-08-30 00:17:00,Komandorska / Sanocka,Ślężna / pętla tramwajowa,14
197338536,603086,2023-08-30 00:08:30,2023-08-30 00:19:07,Janiszewskiego (PWr),Kościuszki / Komuny Paryskiej / Zgodna,11
197338507,603852,2023-08-30 00:07:09,2023-08-30 00:20:33,pl. Orląt Lwowskich,Plac Świętego Macieja / Trzebnicka,14
197338346,602317,2023-08-30 00:01:47,2023-08-30 00:20:38,Plac Legionów,Na Ostatnim Groszu,19
197337469,602545,2023-08-29 23:38:47,2023-08-30 00:21:46,Plac Jana Pawła II (Akademia Muzyczna),Rogowska / Zemska,43
197338629,603762,2023-08-30 00:11:39,2023-08-30 00:24:14,Solskiego / al. Piastów,Czekoladowa / Wałbrzyska,13
197338743,602224,2023-08-30 00:15:53,2023-08-30 00:24:16,Piłsudskiego 13 od Jump Hall,Pereca / Grabiszyńska,9
197338635,604569,2023-08-30 00:11:51,2023-08-30 00:24:18,Solskiego / al. Piastów,Czekoladowa / Wałbrzyska,13
197338673,602670,2023-08-30 00:13:06,2023-08-30 00:24:19,Na Ostatnim Groszu,Popowicka / Niedźwiedzia,12
197338780,652116,2023-08-30 00:17:10,2023-08-30 00:24:58,"Kosmonautów / Fieldorfa, szpital wojewódzki",Boguszowska / Kosmonautów,8
197338983,604180,2023-08-30 00:22:51,2023-08-30 00:27:05,Na Ostatnim Groszu,Drzewieckiego / Dedala,5
197338822,602097,2023-08-30 00:18:17,2023-08-30 00:27:26,Wyszyńskiego / Szczytnicka,Piaskowa / św. Ducha,10
197338883,602072,2023-08-30 00:20:25,2023-08-30 00:27:38,al. Armii Krajowej / Bardzka,Świeradowska (Ferio Gaj ),8
197339114,602849,2023-08-30 00:27:35,2023-08-30 00:28:01,Piaskowa / św. Ducha,Piaskowa / św. Ducha,1
197338849,603296,2023-08-30 00:19:13,2023-08-30 00:28:12,Stacyjna (Dworzec Mikołajów),Młodych Techników,9
197338783,603741,2023-08-30 00:17:12,2023-08-30 00:29:21,Ślężna / pętla tramwajowa,Poza stacją,13
197338915,602428,2023-08-30 00:21:15,2023-08-30 00:29:23,Krzycka / Aleja Karkonoska (Park Południowy),Poza stacją,9
197338787,603851,2023-08-30 00:17:19,2023-08-30 00:31:53,Graniczna / Strzegomska,Strzegomska / Estońska,15
197338940,604455,2023-08-30 00:21:49,2023-08-30 00:31:53,Krzycka / Aleja Karkonoska (Park Południowy),Poza stacją,11
197338793,603673,2023-08-30 00:17:21,2023-08-30 00:31:55,Wyszyńskiego / Szczytnicka,Piaskowa / św. Ducha,15
197338808,604497,2023-08-30 00:17:45,2023-08-30 00:32:06,Kozanowska Pilczyce,Poza stacją,15
197337240,602977,2023-08-29 23:33:02,2023-08-30 00:32:12,Legnicka (Park Magnolia),"Dworzec Główny, południe",60
