UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
200544546,602354,2023-09-17 23:50:52,2023-09-18 00:00:12,Strzegomska / Estońska,Lotnicza / Metalowców,10
200544740,602183,2023-09-17 23:56:05,2023-09-18 00:00:37,Rynek,Plac Kościuszki (Renoma),5
200544787,603416,2023-09-17 23:57:53,2023-09-18 00:01:20,Traugutta / Kościuszki,Traugutta / Pułaskiego,4
200543990,602131,2023-09-17 23:36:07,2023-09-18 00:01:26,Bardzka / Piękna,Wróblewskiego (Teki),26
200544667,602727,2023-09-17 23:54:17,2023-09-18 00:01:43,Poza stacją,Wyszyńskiego / Szczytnicka,8
200544801,602434,2023-09-17 23:58:28,2023-09-18 00:02:31,Rondo Reagana,Łukasiewicza / Smoluchowskiego (PWr),5
200544921,603234,2023-09-18 00:02:39,2023-09-18 00:03:24,Rynek,Rynek,1
200544459,603174,2023-09-17 23:48:14,2023-09-18 00:04:48,"Paprotna / Obornicka, zajezdnia MPK",Plac Świętego Macieja / Trzebnicka,17
200544702,602455,2023-09-17 23:55:09,2023-09-18 00:05:09,Poza stacją,Traugutta / Kościuszki,10
200544372,603051,2023-09-17 23:45:51,2023-09-18 00:05:18,Drobnera / Plac Bema,Kamienna / Tomaszowska,20
200544972,602052,2023-09-18 00:04:38,2023-09-18 00:06:30,Fabryczna / Wagonowa,Fabryczna / Wagonowa,2
200545032,603234,2023-09-18 00:06:21,2023-09-18 00:06:40,Rynek,Rynek,1
200544481,604194,2023-09-17 23:49:02,2023-09-18 00:07:47,Żmigrodzka / Broniewskiego,Poza stacją,19
200544807,602496,2023-09-17 23:58:34,2023-09-18 00:10:35,Komandorska / Kamienna,Zaporoska / Grabiszyńska,13
200545103,602357,2023-09-18 00:08:40,2023-09-18 00:10:40,Rondo Reagana,Rondo Reagana,2
200544868,602840,2023-09-18 00:00:36,2023-09-18 00:11:01,Komandorska / Kamienna,al. Armii Krajowej / Borowska,11
200544943,603626,2023-09-18 00:03:37,2023-09-18 00:12:11,Powstańcow Śląskich / Aleja Hallera,al. Armii Krajowej / Borowska,9
200545189,602357,2023-09-18 00:11:23,2023-09-18 00:12:11,Rondo Reagana,Rondo Reagana,1
200544961,602592,2023-09-18 00:04:23,2023-09-18 00:13:24,Bardzka (cmentarz),Kopycińskiego/Drabika,10
200545094,603851,2023-09-18 00:08:26,2023-09-18 00:14:20,Drobnera / Dubois,Szewska / Kazimierza Wielkiego ,6
200545249,602304,2023-09-18 00:13:55,2023-09-18 00:14:21,Gazowa / Międzyleska,Gazowa / Międzyleska,1
200544938,603854,2023-09-18 00:03:22,2023-09-18 00:14:56,Powstańcow Śląskich / Aleja Hallera,Skarbowców / Wietrzna,12
200544941,604518,2023-09-18 00:03:35,2023-09-18 00:14:59,Powstańcow Śląskich / Aleja Hallera,Skarbowców / Wietrzna,12
200545167,602705,2023-09-18 00:10:35,2023-09-18 00:15:18,Plac Uniwersytecki (UWr),Plac Świętego Macieja / Trzebnicka,5
200545148,603914,2023-09-18 00:10:15,2023-09-18 00:15:20,Plac Uniwersytecki (UWr),Plac Świętego Macieja / Trzebnicka,6
200540918,603661,2023-09-17 22:37:26,2023-09-18 00:15:24,al. Kochanowskiego / Kopernika,Olszewskiego / Spółdzielcza,98
200545135,603587,2023-09-18 00:09:48,2023-09-18 00:15:26,Graniczna / Strzegomska,Tyrmanda / Trawowa,6
200545185,603735,2023-09-18 00:11:19,2023-09-18 00:15:31,Kościuszki / Pułaskiego,Kościuszki / Pułaskiego,5
200544757,602047,2023-09-17 23:56:45,2023-09-18 00:15:55,Strzegomska / Estońska,Kazimierza Wielkiego (Helios),20
200544837,603255,2023-09-17 23:59:22,2023-09-18 00:16:03,Gorlicka / Litewska,al. Poprzeczna / stacja kolejowa,17
200544846,602134,2023-09-17 23:59:47,2023-09-18 00:16:56,Janiszewskiego (PWr),Olszewskiego / Spółdzielcza,18
200544690,602119,2023-09-17 23:54:52,2023-09-18 00:17:06,pl. Orląt Lwowskich,Wałbrzyska - pętla tramwajowa,23
200545218,602564,2023-09-18 00:12:32,2023-09-18 00:17:15,Drobnera / Plac Bema,Nowowiejska / Jedności Narodowej,5
200545098,604480,2023-09-18 00:08:35,2023-09-18 00:17:36,Poza stacją,Wyszyńskiego / Szczytnicka,10
200544446,602789,2023-09-17 23:47:43,2023-09-18 00:18:21,Legnicka / Młodych Techników,Rogowska / Zemska,31
200544380,604540,2023-09-17 23:46:00,2023-09-18 00:18:48,Legnicka / Młodych Techników,Rogowska / Zemska,33
200545320,604218,2023-09-18 00:16:52,2023-09-18 00:20:11,Krzycka / Aleja Karkonoska (Park Południowy),Krzycka / Aleja Karkonoska (Park Południowy),4
200545358,603582,2023-09-18 00:18:25,2023-09-18 00:21:45,Zaporoska / Gajowicka,Zaporoska / Grabiszyńska,4
200545195,603853,2023-09-18 00:11:36,2023-09-18 00:21:59,al. Armii Krajowej / Borowska,Świeradowska (Ferio Gaj ),11
200545220,602183,2023-09-18 00:12:38,2023-09-18 00:22:05,Plac Kościuszki (Renoma),Ślężna / Aleja Wiśniowa,10
200545108,603678,2023-09-18 00:08:51,2023-09-18 00:22:33,Plac Grunwaldzki (DS Ołówek),Krakowska / Leroy Merlin,14
200545279,602304,2023-09-18 00:14:57,2023-09-18 00:23:06,Gazowa / Międzyleska,Świeradowska (Ferio Gaj ),9
200545028,603527,2023-09-18 00:06:15,2023-09-18 00:23:43,Plac Uniwersytecki (UWr),Poza stacją,18
200545111,603542,2023-09-18 00:08:54,2023-09-18 00:24:40,Kołłątaja / Podwale,Młodych Techników,16
200545239,602475,2023-09-18 00:13:21,2023-09-18 00:27:11,Poza stacją,Kamieńskiego,14
200545437,603785,2023-09-18 00:20:58,2023-09-18 00:28:58,Kozanowska Pilczyce,Lotnicza / Na Ostatnim Groszu,8
200545485,603881,2023-09-18 00:22:46,2023-09-18 00:29:04,Krakowska / Leroy Merlin,Tarnogajska / Klimasa,7
200545494,602429,2023-09-18 00:23:03,2023-09-18 00:29:04,Kasprowicza / Syrokomli,Aleja Kromera,7
200545636,603031,2023-09-18 00:27:43,2023-09-18 00:29:57,Robotnicza / Fabryczna,Robotnicza / Fabryczna,3
200545388,602999,2023-09-18 00:19:17,2023-09-18 00:30:40,Plac Grunwaldzki (DS Ołówek),al. Brücknera / Kwidzyńska,12
200545338,604440,2023-09-18 00:17:35,2023-09-18 00:30:43,al. Brücknera / Kwidzyńska,Wróblewskiego (Teki),14
200545428,603958,2023-09-18 00:20:42,2023-09-18 00:30:51,pl. Powstańców Wielkopolskich,Kasprowicza / Syrokomli,11
