UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
191847810,603062,2023-07-23 22:53:35,2023-07-24 00:00:46,Plac Strzegomski / Poznańska,Legnicka / Zachodnia ,68
191847820,604275,2023-07-23 22:53:45,2023-07-24 00:00:52,Plac Strzegomski / Poznańska,Legnicka / Zachodnia ,68
191851629,604165,2023-07-23 23:48:16,2023-07-24 00:01:08,Dworzec Główny ,Na Grobli (PWr - Geocentrum),13
191851887,602486,2023-07-23 23:52:24,2023-07-24 00:01:58,Drobnera / Dubois,Legnicka / Młodych Techników,10
191852412,603681,2023-07-24 00:01:49,2023-07-24 00:02:06,Ślężna / Aleja Wiśniowa,Ślężna / Aleja Wiśniowa,1
191852165,603342,2023-07-23 23:56:51,2023-07-24 00:02:09,Drobnera / Plac Bema,Sienkiewicza / Wyszyńskiego,6
191852305,604440,2023-07-23 23:59:51,2023-07-24 00:02:09,Poza stacją,Poza stacją,3
191852203,602865,2023-07-23 23:57:27,2023-07-24 00:02:11,Komandorska / Kamienna,Zaporoska / Wielka / Krucza,5
191851739,603693,2023-07-23 23:50:09,2023-07-24 00:02:18,Kościuszki / Pułaskiego,Plac Uniwersytecki (UWr),13
191851822,652009,2023-07-23 23:51:31,2023-07-24 00:02:24,Poza stacją,Skarbowców / Wietrzna,11
191851277,603805,2023-07-23 23:42:28,2023-07-24 00:02:25,.RELOKACYJNA,Aleja Hallera / Mielecka,20
191851828,602951,2023-07-23 23:51:38,2023-07-24 00:02:27,Powstańcow Śląskich / Aleja Hallera,Skarbowców / Wietrzna,11
191851260,602241,2023-07-23 23:42:12,2023-07-24 00:02:40,.RELOKACYJNA,Aleja Hallera / Mielecka,21
191851650,603936,2023-07-23 23:48:40,2023-07-24 00:03:07,al. Kochanowskiego / Kopernika,Bacciarellego,15
191851836,603901,2023-07-23 23:51:44,2023-07-24 00:03:09,Drobnera / Dubois,Aleja Kromera,12
191852359,602311,2023-07-24 00:00:57,2023-07-24 00:03:09,Plac Uniwersytecki (UWr),Plac Uniwersytecki (UWr),3
191852450,604157,2023-07-24 00:02:36,2023-07-24 00:03:42,DCF Kino,DCF Kino,2
191852255,604339,2023-07-23 23:58:34,2023-07-24 00:04:27,Młodych Techników,Zachodnia / Poznańska,6
191852535,602540,2023-07-24 00:04:17,2023-07-24 00:04:33,Plac Jana Pawła II (Akademia Muzyczna),Plac Jana Pawła II (Akademia Muzyczna),1
191852333,603218,2023-07-24 00:00:18,2023-07-24 00:05:06,Nyska / Piękna,Kamienna / Tomaszowska,5
191851970,602760,2023-07-23 23:53:40,2023-07-24 00:05:24,Legnicka / Wejherowska,Kozanowska/Pałucka,12
191852056,603395,2023-07-23 23:54:56,2023-07-24 00:05:49,Grabiszyńska / Stalowa,Krucza / Mielecka / Stalowa,11
191852083,604284,2023-07-23 23:55:26,2023-07-24 00:06:33,Klecińska / Duńska,Legnicka / Wejherowska,12
191852573,602311,2023-07-24 00:04:55,2023-07-24 00:06:59,Plac Uniwersytecki (UWr),Plac Uniwersytecki (UWr),3
191851988,603648,2023-07-23 23:53:53,2023-07-24 00:07:14,Plac Kościuszki (Renoma),Piaskowa / św. Ducha,14
191851809,603542,2023-07-23 23:51:21,2023-07-24 00:07:41,DCF Kino,Piaskowa / św. Ducha,17
191852105,602489,2023-07-23 23:55:52,2023-07-24 00:07:44,Szczęśliwa (Sky Tower),Świdnicka / Piłsudskiego (Hotel Scandic),12
191852150,603529,2023-07-23 23:56:31,2023-07-24 00:07:46,Piłsudskiego 13 od Jump Hall,Legnicka (Park Magnolia),12
191851043,602238,2023-07-23 23:38:45,2023-07-24 00:08:07,Kamienna / Borowska (Aquapark),Krzycka / Aleja Karkonoska (Park Południowy),30
191851031,602393,2023-07-23 23:38:35,2023-07-24 00:08:37,Kamienna / Borowska (Aquapark),Krzycka / Aleja Karkonoska (Park Południowy),31
191852279,602020,2023-07-23 23:59:07,2023-07-24 00:09:09,Rynek,Kościuszki / Pułaskiego,11
191852514,603304,2023-07-24 00:03:51,2023-07-24 00:09:19,al. Armii Krajowej / Bardzka,Kamienna / Tomaszowska,6
191851656,603110,2023-07-23 23:48:45,2023-07-24 00:09:29,Piłsudskiego 13 od Jump Hall,al. Armii Krajowej / Bardzka,21
191851059,602269,2023-07-23 23:39:00,2023-07-24 00:09:33,Traugutta / Kościuszki,Hubska / Prudnicka,31
191852559,603027,2023-07-24 00:04:45,2023-07-24 00:09:58,Zachodnia / Poznańska,Legnicka / Młodych Techników,6
191849566,602638,2023-07-23 23:16:47,2023-07-24 00:10:25,Gnieźnieńska / Długa,Jagiełły / Dmowskiego ,54
191852000,602643,2023-07-23 23:54:05,2023-07-24 00:10:58,Dyrekcyjna / Borowska (Wroclavia),Poza stacją,17
