UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
185630459,603188,2023-06-17 14:08:37,2023-10-23 11:56:15,Drobnera / Dubois,Drobnera / Dubois,184188
203274592,602711,2023-10-04 13:37:54,2023-10-23 14:41:32,Kiełczowska,Poleska / Litewska,27424
205053214,603480,2023-10-16 13:25:54,2023-10-23 10:55:54,Obornicka / Bałtycka,Poza stacją,9930
205388125,603750,2023-10-18 15:58:20,2023-10-23 13:25:03,"Dworzec Główny, południe",Poza stacją,7047
205587364,604123,2023-10-19 21:07:32,2023-10-23 17:27:33,Hubska / Prudnicka,Poza stacją,5540
205681190,604259,2023-10-20 17:36:55,2023-10-23 18:18:25,Gliniana / Gajowa,Strachocińska / Wieśniacza,4362
205879331,603708,2023-10-22 09:26:06,2023-10-23 05:59:18,Sołtysowicka / Redycka,Koszarowa / UWr,1233
205924983,604523,2023-10-22 17:10:57,2023-10-23 19:01:02,Rondo Reagana,Świdnicka / Piłsudskiego (Hotel Scandic),1550
205952415,604201,2023-10-22 21:08:26,2023-10-23 01:18:51,al. Armii Krajowej / Borowska,al. Armii Krajowej / Borowska,250
205960675,603602,2023-10-22 23:53:08,2023-10-23 00:05:08,Skarbowców / Wietrzna,Hallera / Odkrywców,12
205960687,602779,2023-10-22 23:53:32,2023-10-23 00:30:42,Grabiszyńska / Magazynierska (Corte Verona),Poza stacją,37
205960690,602391,2023-10-22 23:53:41,2023-10-23 00:00:55,Komandorska / Sanocka,Poza stacją,7
205960697,603517,2023-10-22 23:53:51,2023-10-23 00:08:26,Janiszewskiego (PWr),al. Armii Krajowej / Bardzka,15
205960740,603087,2023-10-22 23:55:24,2023-10-23 00:01:28,Kamienna / Tomaszowska,Nyska / Piękna,6
205960780,603276,2023-10-22 23:57:07,2023-10-23 00:11:22,Gazowa / Międzyleska,Kamienna / Borowska (Aquapark),14
205960872,602140,2023-10-23 00:00:34,2023-10-23 00:15:04,pl. Orląt Lwowskich,Rondo Reagana,15
205960976,604354,2023-10-23 00:05:37,2023-10-23 00:17:00,Jedności Narodowej / Wyszyńskiego,Plac Jana Pawła II (Akademia Muzyczna),11
205960989,602913,2023-10-23 00:06:25,2023-10-23 00:19:31,pl. Orląt Lwowskich,pl. Powstańców Wielkopolskich,13
205961025,603989,2023-10-23 00:08:11,2023-10-23 00:12:34,Powstańców Śląskich/Orla,Powstańcow Śląskich / Aleja Hallera,4
205961036,602869,2023-10-23 00:08:31,2023-10-23 00:15:48,Kazimierza Wielkiego (Helios),Szewska / Kazimierza Wielkiego ,7
205961053,603113,2023-10-23 00:09:01,2023-10-23 00:15:55,al. Armii Krajowej / Bardzka,Piławska,7
205961096,603650,2023-10-23 00:10:57,2023-10-23 00:24:53,pl. Powstańców Wielkopolskich,Koszarowa / UWr,14
205961128,603056,2023-10-23 00:12:34,2023-10-23 00:16:23,al. Armii Krajowej / Borowska,Ślężna / Aleja Wiśniowa,4
205961131,603640,2023-10-23 00:12:39,2023-10-23 00:23:03,Rynek,Na Grobli (PWr - Geocentrum),10
205961136,603334,2023-10-23 00:12:54,2023-10-23 00:25:41,Powstańcow Śląskich / Aleja Hallera,Plac Dominikański (Galeria Dominikańska),13
205961187,602398,2023-10-23 00:15:11,2023-10-23 00:23:02,Legnicka / Wejherowska,Nowodworska/Strzegomska,8
205961294,603843,2023-10-23 00:19:34,2023-10-23 00:26:46,Powstańców Śląskich/Orla,Komandorska / Kamienna,7
205961329,603424,2023-10-23 00:21:04,2023-10-23 00:26:58,Sienkiewicza / Wyszyńskiego,Plac Grunwaldzki (DS Ołówek),6
205961382,602129,2023-10-23 00:23:24,2023-10-23 00:45:02,Wróblewskiego (Teki),Dworzec Główny ,22
205961418,603444,2023-10-23 00:24:40,2023-10-23 00:39:00,Poza stacją,Popowicka / Niedźwiedzia,14
205961432,603650,2023-10-23 00:25:24,2023-10-23 00:25:51,Koszarowa / UWr,Koszarowa / UWr,0
205961448,603650,2023-10-23 00:26:23,2023-10-23 00:34:47,Koszarowa / UWr,Poza stacją,8
205961459,602869,2023-10-23 00:26:51,2023-10-23 00:38:13,Szewska / Kazimierza Wielkiego ,Dworzec Główny ,11
205961511,603517,2023-10-23 00:29:21,2023-10-23 00:35:24,al. Armii Krajowej / Bardzka,Tarnogajska / Klimasa,6
205961512,603483,2023-10-23 00:29:24,2023-10-23 00:36:39,Poza stacją,"Dworzec Główny, południe",7
205961546,604098,2023-10-23 00:31:20,2023-10-23 00:42:28,Kościuszki / Pułaskiego,Grabiszyńska / Stalowa,11
205961565,602681,2023-10-23 00:32:14,2023-10-23 00:35:41,Hubska / Prudnicka,Bardzka / Piękna,3
205961569,602462,2023-10-23 00:32:36,2023-10-23 01:01:37,Jagiełły / Dmowskiego ,Berenta / Kasprowicza,29
205961598,602642,2023-10-23 00:34:00,2023-10-23 00:37:47,Poza stacją,Traugutta / Pułaskiego,4
205961634,602403,2023-10-23 00:36:19,2023-10-23 00:48:24,Bardzka / Piękna,Kopycińskiego/Drabika,12
205961647,603727,2023-10-23 00:37:09,2023-10-23 00:45:31,Plac Legionów,Grabiszyńska / Stalowa,8
205961748,604175,2023-10-23 00:43:06,2023-10-23 00:48:14,Nowowiejska / Górnickiego,Nowowiejska / Jedności Narodowej,5
205961774,602249,2023-10-23 00:44:25,2023-10-23 00:53:29,Nowowiejska / Wyszyńskiego,Nowowiejska / Wyszyńskiego,9
205961780,603445,2023-10-23 00:44:54,2023-10-23 00:47:24,Wyszyńskiego / Szczytnicka,Wyszyńskiego / Szczytnicka,3
205961809,602017,2023-10-23 00:46:23,2023-10-23 00:59:11,Plac Powstańców Śląskich,Krzycka / Aleja Karkonoska (Park Południowy),13
205961812,602268,2023-10-23 00:46:27,2023-10-23 00:59:07,Plac Powstańców Śląskich,Krzycka / Aleja Karkonoska (Park Południowy),13
205961838,603678,2023-10-23 00:47:51,2023-10-23 00:48:44,Wyszyńskiego / Szczytnicka,Wyszyńskiego / Szczytnicka,1
205961857,603445,2023-10-23 00:48:58,2023-10-23 00:54:01,Wyszyńskiego / Szczytnicka,Rondo Reagana,5
205961878,602261,2023-10-23 00:50:35,2023-10-23 01:06:01,Śrubowa / Strzegomska,Bystrzycka / Idzikowskiego,15
205961885,603101,2023-10-23 00:50:56,2023-10-23 01:07:00,Pilczycka / Koszykarska,Poza stacją,16
205961889,603496,2023-10-23 00:51:14,2023-10-23 01:10:10,Śrubowa / Strzegomska,Legnicka (Park Magnolia),19
205961898,603018,2023-10-23 00:51:28,2023-10-23 00:55:00,Poniatowskiego / Oleśnicka,Nowowiejska / Wyszyńskiego,4
205961901,604121,2023-10-23 00:51:38,2023-10-23 01:10:21,Śrubowa / Strzegomska,Legnicka (Park Magnolia),19
205961906,604060,2023-10-23 00:52:02,2023-10-23 01:06:36,Pilczycka / Koszykarska,Poza stacją,15
205961913,602335,2023-10-23 00:52:28,2023-10-23 01:09:23,Poza stacją,Rakowiecka,17
205961942,602140,2023-10-23 00:54:11,2023-10-23 00:59:55,Rondo Reagana,al. Kochanowskiego / Kopernika,6
205961972,603478,2023-10-23 00:55:50,2023-10-23 00:59:54,Plac Świętego Macieja / Trzebnicka,Nowowiejska / Jedności Narodowej,4
205962007,602478,2023-10-23 00:58:42,2023-10-23 01:06:24,Zaporoska / Wielka / Krucza,Grabiszyńska / Stalowa,8
205962012,604080,2023-10-23 00:58:56,2023-10-23 01:03:26,Krzywoustego - Rynek Psie Pole,Gorlicka / Litewska,5
