UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
195834112,603619,2023-08-19 23:55:36,2023-08-20 00:00:06,Piaskowa / św. Ducha,Żeromskiego / Kluczborska,5
195832937,604226,2023-08-19 23:43:42,2023-08-20 00:00:09,Poza stacją,Traugutta / Pułaskiego,17
195834199,603222,2023-08-19 23:56:44,2023-08-20 00:00:13,Rondo Reagana,Sienkiewicza / Piastowska,4
195834253,603289,2023-08-19 23:57:13,2023-08-20 00:00:24,Rondo Reagana,Sienkiewicza / Piastowska,4
195833483,603137,2023-08-19 23:49:41,2023-08-20 00:00:58,Młodych Techników,Plac Uniwersytecki (UWr),12
195833436,603487,2023-08-19 23:49:07,2023-08-20 00:01:02,Młodych Techników,Plac Uniwersytecki (UWr),12
195834235,602882,2023-08-19 23:57:01,2023-08-20 00:01:11,Poza stacją,Wyszyńskiego / Szczytnicka,5
195832934,604182,2023-08-19 23:43:41,2023-08-20 00:01:14,Popowicka / Niedźwiedzia,Lotnicza / Bajana,18
195829433,604117,2023-08-19 23:11:24,2023-08-20 00:01:20,Plac Dominikański (Galeria Dominikańska),Buforowa - Vivaldiego,50
195834203,603891,2023-08-19 23:56:46,2023-08-20 00:01:20,Poza stacją,Wyszyńskiego / Szczytnicka,5
195829562,603371,2023-08-19 23:12:38,2023-08-20 00:01:51,Poza stacją,Jedności Narodowej / Wyszyńskiego,50
195833701,604003,2023-08-19 23:51:43,2023-08-20 00:01:51,Poza stacją,Poza stacją,11
195833322,603017,2023-08-19 23:47:57,2023-08-20 00:02:05,Zwycięska / Ołtaszyńska,Piławska,15
195832747,603571,2023-08-19 23:41:49,2023-08-20 00:02:11,Komandorska / Kamienna,Grota-Roweckiego/Iwaszkiewicza,21
195831900,603340,2023-08-19 23:33:31,2023-08-20 00:02:25,Szczęśliwa (Sky Tower),Strzegomska / Estońska,29
195834239,603719,2023-08-19 23:57:03,2023-08-20 00:02:28,Gnieźnieńska / Długa,Jagiełły / Dmowskiego ,6
195833814,603674,2023-08-19 23:52:47,2023-08-20 00:02:59,Powstańcow Śląskich / Aleja Hallera,Krucza / Mielecka / Stalowa,11
195834782,603097,2023-08-20 00:02:47,2023-08-20 00:03:09,Zaporoska / Gajowicka,Zaporoska / Gajowicka,1
195833196,602887,2023-08-19 23:46:34,2023-08-20 00:03:13,Świeradowska (Ferio Gaj ),Poza stacją,17
195833186,603864,2023-08-19 23:46:23,2023-08-20 00:03:24,Fosa Miejska ,Szczęśliwa (Sky Tower),18
195833777,603414,2023-08-19 23:52:29,2023-08-20 00:03:56,Przyjaźni / Karkonoska,Borowska (Uniw. Szpital Kliniczny),12
195834847,604245,2023-08-20 00:03:30,2023-08-20 00:03:58,Legnicka / Wejherowska,Legnicka / Wejherowska,1
195833717,602956,2023-08-19 23:51:53,2023-08-20 00:03:59,Przyjaźni / Karkonoska,Borowska (Uniw. Szpital Kliniczny),13
195833905,602547,2023-08-19 23:53:28,2023-08-20 00:04:22,"Paprotna / Obornicka, zajezdnia MPK",Kamieńskiego,11
