UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
211104289,603866,2023-12-10 16:21:59,2023-12-11 08:01:20,Poza stacją,Obornicka / Bałtycka,939
211128235,603805,2023-12-10 23:40:18,2023-12-11 00:05:18,Reymonta / Kleczkowska,Reymonta / Kleczkowska,25
211128566,604555,2023-12-10 23:58:04,2023-12-11 00:08:43,Drobnera / Dubois,Plac Strzegomski / Poznańska,11
211128584,602886,2023-12-10 23:59:02,2023-12-11 00:11:50,Nowowiejska / Wyszyńskiego,Nowowiejska / Górnickiego,13
211128589,603737,2023-12-10 23:59:37,2023-12-11 00:10:10,Żmigrodzka / Broniewskiego,Kamieńskiego,11
211128654,603407,2023-12-11 00:04:06,2023-12-11 00:08:20,Komandorska / Kamienna,Powstańcow Śląskich / Aleja Hallera,4
211128672,604501,2023-12-11 00:05:01,2023-12-11 00:09:39,al. Armii Krajowej / Tarnogajska,Hubska / Prudnicka,5
211128693,604125,2023-12-11 00:05:56,2023-12-11 00:22:03,Stacyjna (Dworzec Mikołajów),Lotnicza / Metalowców,16
211128715,604000,2023-12-11 00:07:49,2023-12-11 00:14:59,Żmigrodzka / Broniewskiego,Berenta / Kasprowicza,7
211128782,603376,2023-12-11 00:13:49,2023-12-11 00:20:48,Aleja Kromera,al. Brücknera / Kwidzyńska,7
211128783,603698,2023-12-11 00:13:49,2023-12-11 00:26:43,Poza stacją,Popowicka / Niedźwiedzia,13
211128797,602989,2023-12-11 00:15:23,2023-12-11 00:15:40,Berenta / Kasprowicza,Berenta / Kasprowicza,0
211128806,603635,2023-12-11 00:15:52,2023-12-11 00:19:01,Berenta / Kasprowicza,Koszarowa / UWr,3
211128838,602593,2023-12-11 00:17:33,2023-12-11 00:24:17,Kamienna / Tomaszowska,Plac Powstańców Śląskich,7
211128846,603097,2023-12-11 00:18:32,2023-12-11 00:56:32,Drobnera / Dubois,Plac Uniwersytecki (UWr),38
211128853,602339,2023-12-11 00:19:16,2023-12-11 00:27:49,Koszarowa / UWr,Poza stacją,9
211128911,602812,2023-12-11 00:23:32,2023-12-11 00:32:28,al. Armii Krajowej / Borowska,Świeradowska (Ferio Gaj ),9
211128923,604325,2023-12-11 00:24:37,2023-12-11 00:52:00,Poza stacją,Promenady Wrocławskie,27
211128962,602900,2023-12-11 00:27:09,2023-12-11 00:33:45,Grota-Roweckiego / Parafialna,Zwycięska / Agrestowa,7
211129071,602886,2023-12-11 00:37:54,2023-12-11 00:49:24,Nowowiejska / Górnickiego,Na Grobli (PWr - Geocentrum),12
211129104,602265,2023-12-11 00:41:03,2023-12-11 00:41:28,Plac Powstańców Śląskich,Plac Powstańców Śląskich,0
