uid,bike_number,start_time,end_time,rental_place,return_place,duration,lat_start,lon_start,lat_end,lon_end,distance
173798297,603124,2023-03-25 00:00:21,2023-03-25 00:17:11,"Dworzec Główny, południe",Aleja Hallera / Mielecka,17,51.097108,17.03611,51.089315,17.001501,2.574942112793385
173798134,603412,2023-03-24 23:57:27,2023-03-25 00:17:42,Kamienna / Tomaszowska,Mościckiego / Chińska,21,51.087764,17.039318,51.05909,17.08687,4.613379991331936
173798964,603035,2023-03-25 00:13:44,2023-03-25 00:17:43,Nowowiejska / Jedności Narodowej,Nowowiejska / Górnickiego,4,51.124879,17.045844,51.119311,17.056784,0.9850798751002813
173798351,602930,2023-03-25 00:01:18,2023-03-25 00:17:46,Kamienna / Tomaszowska,Tarnogajska / Klimasa,17,51.087764,17.039318,51.08015,17.06228,1.8183190140125314
173799172,603175,2023-03-25 00:18:01,2023-03-25 00:18:36,Zwycięska / Ołtaszyńska,Zwycięska / Ołtaszyńska,1,51.059458,17.006542,51.059458,17.006542,0.0
173798932,602678,2023-03-25 00:13:00,2023-03-25 00:19:03,Legnicka / Zachodnia,Legnicka / Wejherowska,7,51.117155,17.000368,51.125276,16.984447,1.4348564166171711
173799245,602868,2023-03-25 00:19:42,2023-03-25 00:19:59,Plac Dominikański (Galeria Dominikańska),Plac Dominikański (Galeria Dominikańska),1,51.108004,17.039528,51.108004,17.039528,0.0
173798984,602718,2023-03-25 00:14:16,2023-03-25 00:20:12,Dworzec Główny,Kościuszki / Komuny Paryskiej / Zgodna,6,51.09975,17.036228,51.098959,17.051519,1.0747074353998662
173798979,602265,2023-03-25 00:14:11,2023-03-25 00:20:23,Dworzec Główny,Kościuszki / Komuny Paryskiej / Zgodna,7,51.09975,17.036228,51.098959,17.051519,1.0747074353998662
173799000,602431,2023-03-25 00:14:32,2023-03-25 00:20:25,Dworzec Główny,Hubska / Prudnicka,6,51.09975,17.036228,51.089572,17.045321,1.29918817042307
173798937,603322,2023-03-25 00:13:13,2023-03-25 00:20:28,Joliot-Curie (Uwr),Żeromskiego / Daszyńskiego,8,51.110662,17.052712,51.12566,17.050463,1.675950117359283
173799020,602875,2023-03-25 00:14:55,2023-03-25 00:20:49,Powstańców Śląskich (Arkady Wrocławskie),Plac Kościuszki (Renoma),6,51.099713,17.027905,51.103354,17.030704,0.45001388795621544
173798587,602414,2023-03-25 00:06:15,2023-03-25 00:21:12,Szewska / Kazimierza Wielkiego,Hubska / Prudnicka,15,51.107471,17.033335,51.089572,17.045321,2.1610371384454012
173798945,603427,2023-03-25 00:13:26,2023-03-25 00:21:54,Krzywoustego - Rynek Psie Pole,Zatorska / Królewska - pętla MPK,9,51.147339,17.11452,51.160332,17.133683,1.9715551916241576
173799378,603186,2023-03-25 00:22:17,2023-03-25 00:22:45,Poza stacją,Poza stacją,1,,,,,
173798573,602706,2023-03-25 00:05:58,2023-03-25 00:22:54,Poniatowskiego / Oleśnicka,Popowicka / Niedźwiedzia,17,51.121308,17.043077,51.1253,16.997218,3.241225554231009
