uid,bike_number,start_time,end_time,rental_place,return_place,duration,lat_start,lon_start,lat_end,lon_end,distance
173883726,602866,2023-03-25 23:54:33,2023-03-26 00:03:07,Poza stacją,Pereca / Grabiszyńska,9,,,51.100862,17.008224,
173883494,603189,2023-03-25 23:48:14,2023-03-26 00:03:13,Opolska / pętla tramwajowa,Nyska / Jesionowa,15,51.07748,17.08405,51.08729,17.05115,2.550684186536966
173883714,602714,2023-03-25 23:54:10,2023-03-26 00:03:26,Poza stacją,Pereca / Grabiszyńska,10,,,51.100862,17.008224,
173883594,603465,2023-03-25 23:51:40,2023-03-26 00:04:18,Ślężna / Kamienna (Uniw. Ekonomiczny),Poza stacją,13,51.089842,17.028225,,,
173883990,603440,2023-03-26 00:01:14,2023-03-26 00:04:52,Ślężna / Aleja Wiśniowa,Ślężna / Skierniewicka,4,51.084239,17.02439,51.07708,17.01824,0.905563356405588
173883737,603404,2023-03-25 23:54:44,2023-03-26 00:05:29,Rondo Reagana,Plac Świętego Macieja / Trzebnicka,11,51.112154,17.060451,51.120474,17.036641,1.9069294546695303
173884059,603687,2023-03-26 00:03:00,2023-03-26 00:06:24,Joliot-Curie (Uwr),Plac Grunwaldzki / Polaka,4,51.110662,17.052712,51.110415,17.055591,0.20348247519071805
173883538,602691,2023-03-25 23:50:00,2023-03-26 00:06:39,Piławska,Piławska,17,51.07236,17.04294,51.07236,17.04294,0.0
173883626,602912,2023-03-25 23:52:27,2023-03-26 00:06:54,Tarnogajska / Klimasa,Dyrekcyjna / Borowska (Wroclavia),15,51.08015,17.06228,51.095322,17.033388,2.635686005865073
173883989,603153,2023-03-26 00:01:12,2023-03-26 00:07:00,Świeradowska (Ferio Gaj),al. Armii Krajowej / Borowska,6,51.07692,17.041439,51.08361,17.03523,0.8621143321131468
173882232,603630,2023-03-25 23:17:02,2023-03-26 00:07:11,al. Kochanowskiego / Kopernika,Poleska / Litewska,51,51.11514,17.07436,51.142323,17.127246,4.780332448177128
173883371,604330,2023-03-25 23:45:12,2023-03-26 00:08:51,Drzewieckiego / Dedala,Ślężna / Aleja Wiśniowa,24,51.125652,16.968627,51.084239,17.02439,6.039871034526007
173883684,603416,2023-03-25 23:53:35,2023-03-26 00:09:09,Nowowiejska / Wyszyńskiego,Wróblewskiego (Teki),16,51.122424,17.052013,51.10411,17.084711,3.064968240075206
173883679,603427,2023-03-25 23:53:32,2023-03-26 00:09:59,Zatorska / Królewska - pętla MPK,Kiełczowska,17,51.160332,17.133683,51.14574,17.13493,1.6257204759335655
173884264,603068,2023-03-26 00:09:12,2023-03-26 00:10:06,Kazimierza Wielkiego (Helios),Kazimierza Wielkiego (Helios),1,51.110342,17.02601,51.110342,17.02601,0.0
173883727,603001,2023-03-25 23:54:34,2023-03-26 00:12:28,Poniatowskiego / Oleśnicka,Popowicka / Niedźwiedzia,18,51.121308,17.043077,51.1253,16.997218,3.241225554231009
173854510,603067,2023-03-25 16:52:37,2023-03-26 00:13:08,Miłoszycka / Swojczycka,Strachocińska / Wieśniacza,441,51.11464,17.13042,51.10666,17.14298,1.2497272579473364
173884202,603119,2023-03-26 00:07:18,2023-03-26 00:14:30,Grochowa / Jemiołowa,Grochowa / Jemiołowa,8,51.095597,17.008045,51.095597,17.008045,0.0
173884346,603068,2023-03-26 00:11:26,2023-03-26 00:15:11,Kazimierza Wielkiego (Helios),pl. Orląt Lwowskich,4,51.110342,17.02601,51.10823,17.02138,0.40043147412764474
173884311,602762,2023-03-26 00:10:44,2023-03-26 00:15:13,Kazimierza Wielkiego (Helios),pl. Orląt Lwowskich,5,51.110342,17.02601,51.10823,17.02138,0.40043147412764474
173883917,603389,2023-03-25 23:59:11,2023-03-26 00:16:05,Dworzec Główny,Robotnicza / Fabryczna,17,51.09975,17.036228,51.112387,16.993157,3.3281012103532257
173884216,602642,2023-03-26 00:07:58,2023-03-26 00:17:09,Rondo Reagana,Poniatowskiego / Oleśnicka,10,51.112154,17.060451,51.121308,17.043077,1.5865403545571382
