UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
199075722,602815,2023-09-09 13:18:17,2024-05-20 12:11:06,Grabiszyńska / Magazynierska (Corte Verona),Grabiszyńska / Magazynierska (Corte Verona),365693
205000583,602980,2023-10-15 22:49:32,2024-05-20 12:10:34,Plac Uniwersytecki (UWr),Plac Uniwersytecki (UWr),313281
206495402,602216,2023-10-26 17:45:09,2024-05-20 12:11:32,Poza stacją,Poza stacją,297746
225929621,603296,2024-05-01 18:42:31,2024-05-20 10:35:48,Poza stacją,Kościuszki / Komuny Paryskiej / Zgodna,26873
226358412,604238,2024-05-03 23:18:47,2024-05-20 18:21:34,Żelazna / Pereca,Żelazna / Pereca,24183
228896087,604110,2024-05-17 17:51:03,2024-05-20 19:34:33,"Dworzec Główny, południe",Dyrekcyjna / Borowska (Wroclavia),4424
229226109,604575,2024-05-19 18:03:16,2024-05-20 02:26:19,Wróblewskiego (ZOO),Poza stacją,503
229228861,603168,2024-05-19 18:16:07,2024-05-20 07:06:46,Świeradowska (Ferio Gaj ),Poza stacją,771
229242071,604528,2024-05-19 19:21:35,2024-05-20 08:39:36,Piaskowa / św. Ducha,al. Kochanowskiego / Śniadeckich ,798
229249500,603901,2024-05-19 20:01:51,2024-05-20 00:40:27,Poza stacją,Poza stacją,279
229253759,602476,2024-05-19 20:26:25,2024-05-20 10:36:02,Traugutta / Pułaskiego,Wróblewskiego (ZOO),850
229267265,603754,2024-05-19 22:13:27,2024-05-20 06:33:31,Plac Powstańców Śląskich,Buforowa - Vivaldiego,500
229273374,602741,2024-05-19 23:28:08,2024-05-20 00:04:29,Plac Grunwaldzki (DS Ołówek),Piaskowa / św. Ducha,36
229274615,603824,2024-05-19 23:46:32,2024-05-20 00:03:09,Norwida / Wyspiańskiego (PWr),Piaskowa / św. Ducha,17
229274636,603615,2024-05-19 23:46:55,2024-05-20 00:02:54,Norwida / Wyspiańskiego (PWr),Piaskowa / św. Ducha,16
229274652,603113,2024-05-19 23:47:11,2024-05-20 00:04:46,Plac Jana Pawła II (Akademia Muzyczna),Żelazna / Pereca,18
229274688,603658,2024-05-19 23:47:54,2024-05-20 00:03:51,Norwida / Wyspiańskiego (PWr),Piaskowa / św. Ducha,16
229274713,604003,2024-05-19 23:48:23,2024-05-20 00:02:52,Norwida / Wyspiańskiego (PWr),Piaskowa / św. Ducha,14
229274720,602600,2024-05-19 23:48:28,2024-05-20 00:02:48,Norwida / Wyspiańskiego (PWr),Piaskowa / św. Ducha,14
229274733,602103,2024-05-19 23:48:39,2024-05-20 00:03:04,Norwida / Wyspiańskiego (PWr),Piaskowa / św. Ducha,14
229274734,602419,2024-05-19 23:48:40,2024-05-20 00:03:00,Norwida / Wyspiańskiego (PWr),Piaskowa / św. Ducha,14
229274765,602598,2024-05-19 23:49:05,2024-05-20 00:13:40,Plac Dominikański (Galeria Dominikańska),Jagodzińska / Buforowa,25
229274858,603722,2024-05-19 23:50:27,2024-05-20 00:02:56,Świeradowska / Krynicka,Buforowa - Vivaldiego,12
229274872,604530,2024-05-19 23:50:34,2024-05-20 00:21:47,Poza stacją,Poza stacją,31
229274877,604167,2024-05-19 23:50:40,2024-05-20 00:00:13,Świeradowska (Ferio Gaj ),Hubska / Prudnicka,10
229274878,602488,2024-05-19 23:50:40,2024-05-20 00:00:02,Plac Grunwaldzki (DS Ołówek),Promenady Wrocławskie,9
229274949,604237,2024-05-19 23:51:51,2024-05-20 00:12:39,pl. Orląt Lwowskich,Bezpieczna/Jugosławiańska,21
229274973,602384,2024-05-19 23:52:24,2024-05-20 00:11:25,Ślężna / Aleja Wiśniowa,Kopycińskiego/Drabika,19
229274989,603892,2024-05-19 23:52:40,2024-05-20 00:06:59,Legnicka (Park Magnolia),pl. Orląt Lwowskich,14
229274995,603653,2024-05-19 23:52:45,2024-05-20 00:00:34,Plac Jana Pawła II (Akademia Muzyczna),Piaskowa / św. Ducha,8
229274999,602085,2024-05-19 23:52:46,2024-05-20 00:07:04,Legnicka (Park Magnolia),pl. Orląt Lwowskich,14
229275009,602978,2024-05-19 23:52:56,2024-05-20 00:08:46,Poza stacją,Opolska / pętla tramwajowa,16
229275021,604064,2024-05-19 23:53:06,2024-05-20 00:00:14,Poza stacją,Piaskowa / św. Ducha,7
229275104,603800,2024-05-19 23:54:32,2024-05-20 00:05:28,Ślężna / Kamienna (Uniw. Ekonomiczny),Aleja Hallera / Mielecka,11
229275185,603031,2024-05-19 23:56:10,2024-05-20 00:05:44,Jagiełły / Dmowskiego ,Wyszyńskiego / Szczytnicka,10
229275240,603510,2024-05-19 23:57:01,2024-05-20 00:09:40,Fosa Miejska ,Traugutta / Kościuszki,13
