UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
219023736,603980,2024-03-14 22:37:09,2024-03-17 14:51:23,al. Armii Krajowej / Bardzka,Poza stacją,3854
219254106,603836,2024-03-16 19:13:29,2024-03-17 08:12:04,Rondo Reagana,Sienkiewicza / Piastowska,779
219261748,602512,2024-03-16 20:22:37,2024-03-17 00:21:13,Jedności Narodowej / Wyszyńskiego,Jedności Narodowej / Wyszyńskiego,239
219263182,602172,2024-03-16 20:37:18,2024-03-17 00:47:49,Kutrzeby / Hubala,Kutrzeby / Hubala,251
219267886,603001,2024-03-16 21:31:49,2024-03-17 00:07:52,Gajowicka,Poza stacją,156
219267914,603720,2024-03-16 21:32:08,2024-03-17 00:07:56,Gajowicka,Poza stacją,156
219269071,604456,2024-03-16 21:46:49,2024-03-17 08:56:41,Pilczycka / Kozanowska,Pilczycka / Kozanowska,670
219276232,602432,2024-03-16 23:29:54,2024-03-17 00:03:03,Kozanowska/Pałucka,Rogowska / Zemska,33
219277214,603492,2024-03-16 23:45:03,2024-03-17 00:01:36,Poza stacją,Grabiszyńska / Stalowa,17
219277383,603410,2024-03-16 23:47:06,2024-03-17 00:00:42,Świeradowska (Ferio Gaj ),Buforowa - Vivaldiego,14
219277771,602923,2024-03-16 23:53:13,2024-03-17 00:13:12,Poza stacją,Popowicka / Niedźwiedzia,20
219277787,604470,2024-03-16 23:53:27,2024-03-17 00:00:14,Nowowiejska / Jedności Narodowej,Aleja Kromera,7
219278197,603522,2024-03-16 23:59:39,2024-03-17 00:03:20,Poza stacją,Traugutta / Pułaskiego,4
219278207,604211,2024-03-16 23:59:48,2024-03-17 00:09:52,Dworzec Główny ,Kościuszki / Komuny Paryskiej / Zgodna,10
219278246,602155,2024-03-17 00:00:28,2024-03-17 00:09:45,Dworzec Główny ,Kościuszki / Komuny Paryskiej / Zgodna,9
219278285,602546,2024-03-17 00:01:23,2024-03-17 00:01:54,Powstańców Śląskich/Orla,Powstańców Śląskich/Orla,1
219278294,604357,2024-03-17 00:01:35,2024-03-17 00:02:05,.RELOKACYJNA,.RELOKACYJNA,1
219278310,603978,2024-03-17 00:02:01,2024-03-17 00:16:32,Jagiełły / Dmowskiego ,Promenady Wrocławskie,15
219278318,603713,2024-03-17 00:02:12,2024-03-17 00:20:45,Grabiszyńska / Stalowa,pl. Powstańców Wielkopolskich,19
219278354,604547,2024-03-17 00:02:46,2024-03-17 00:10:43,Powstańców Śląskich/Orla,Przyjaźni,8
219278504,603737,2024-03-17 00:06:01,2024-03-17 00:29:28,Szewska / Kazimierza Wielkiego ,Ślężna / pętla tramwajowa,23
219278509,603529,2024-03-17 00:06:05,2024-03-17 00:15:06,Rynek,Plac Strzegomski / Poznańska,9
219278515,603934,2024-03-17 00:06:08,2024-03-17 00:10:04,Kozanowska / Pilczycka,Lotnicza / Bajana,4
219278555,604297,2024-03-17 00:06:48,2024-03-17 00:13:10,Plac Legionów,Zaporoska / Gajowicka,6
219278644,603969,2024-03-17 00:08:24,2024-03-17 00:20:28,Legnicka / Zachodnia ,Poza stacją,12
219278775,602136,2024-03-17 00:10:56,2024-03-17 00:19:40,Legnicka (Park Magnolia),Kozanowska Pilczyce,9
219278862,602666,2024-03-17 00:12:52,2024-03-17 00:34:22,Legnicka / Zachodnia ,Poza stacją,22
219278880,603522,2024-03-17 00:13:17,2024-03-17 00:29:19,Traugutta / Pułaskiego,Opolska / pętla tramwajowa,16
219278987,602185,2024-03-17 00:15:10,2024-03-17 00:33:48,al. Armii Krajowej / Bardzka,Krucza / Mielecka / Stalowa,19
219278995,604182,2024-03-17 00:15:17,2024-03-17 00:30:37,Lotnicza / Metalowców,Legnicka / Zachodnia ,15
219279001,604635,2024-03-17 00:15:28,2024-03-17 00:30:25,Lotnicza / Metalowców,Legnicka / Zachodnia ,15
219279064,602177,2024-03-17 00:16:44,2024-03-17 00:28:09,pl. Orląt Lwowskich,Fabryczna / Wagonowa,11
219279067,602578,2024-03-17 00:16:50,2024-03-17 00:28:32,"Dworzec Główny, południe",Ślężna / Aleja Wiśniowa,12
219279069,602250,2024-03-17 00:16:52,2024-03-17 00:26:04,Wita Stwosza / Szewska,Sienkiewicza / Wyszyńskiego,9
219279119,602947,2024-03-17 00:17:45,2024-03-17 00:25:39,Ślężna / Kamienna (Uniw. Ekonomiczny),Bardzka / Piękna,8
219279136,602035,2024-03-17 00:18:07,2024-03-17 00:34:23,Kazimierza Wielkiego (Helios),Plac Powstańców Śląskich,16
219279184,602442,2024-03-17 00:19:17,2024-03-17 00:24:19,Fosa Miejska ,pl. Orląt Lwowskich,5
219279278,603069,2024-03-17 00:21:25,2024-03-17 00:29:57,Aleja Hallera / Mielecka,Pereca / Grabiszyńska,9
219279287,603600,2024-03-17 00:21:35,2024-03-17 00:29:16,Dyrekcyjna / Borowska (Wroclavia),al. Armii Krajowej / Borowska,8
219279385,604212,2024-03-17 00:23:29,2024-03-17 00:40:00,Żmigrodzka / Broniewskiego,Plac Jana Pawła II (Akademia Muzyczna),17
219279625,602378,2024-03-17 00:27:23,2024-03-17 00:33:17,Drobnera / Plac Bema,Nowowiejska / Górnickiego,6
219279680,602890,2024-03-17 00:28:39,2024-03-17 00:30:09,Fabryczna / Wagonowa,Fabryczna / Wagonowa,2
