UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
238850309,603367,2024-07-09 14:12:46,2024-07-12 19:14:14,Bardzka / Piękna,Poza stacją,4621
239147490,602649,2024-07-10 20:39:51,2024-07-12 20:54:42,Grabiszyńska / Aleja Hallera,Poza stacją,2895
239174296,602081,2024-07-10 23:42:45,2024-07-12 12:37:36,Poza stacją,Poza stacją,2215
239212255,604640,2024-07-11 09:39:24,2024-07-12 22:09:18,Kazimierza Wielkiego (Helios),Poza stacją,2190
239274357,604153,2024-07-11 16:02:53,2024-07-12 06:26:49,al. Karkonoska / Jeździecka,Przyjaźni,864
239285266,603929,2024-07-11 16:46:51,2024-07-12 00:05:52,Dyrekcyjna / Borowska (Wroclavia),Dyrekcyjna / Borowska (Wroclavia),439
239326539,603777,2024-07-11 19:27:13,2024-07-12 15:59:00,Plac Strzegomski / Poznańska,Kosmonautów / Glinianki / WUWA2,1232
239334974,603332,2024-07-11 20:05:12,2024-07-12 00:40:13,Strzegomska / Rogowska ,Strzegomska / Estońska,275
239348455,604063,2024-07-11 21:14:27,2024-07-12 00:39:07,Aleja Bielany,Strzegomska / Estońska,205
239367534,602093,2024-07-11 23:20:45,2024-07-12 00:06:02,Kazimierza Wielkiego (Helios),pl. Powstańców Wielkopolskich,45
239368517,604045,2024-07-11 23:29:50,2024-07-12 00:13:40,Legnicka (Park Magnolia),Leśnica - pętla tramwajowa,44
239369840,603042,2024-07-11 23:43:28,2024-07-12 00:04:07,Nowodworska/Strzegomska,Strzegomska / Rogowska ,21
239370006,603080,2024-07-11 23:45:24,2024-07-12 00:05:07,Traugutta / Pułaskiego,Powstańcow Śląskich / Aleja Hallera,20
239370304,603323,2024-07-11 23:48:55,2024-07-12 00:04:15,"Dworzec Główny, południe",Powstańców Śląskich/Orla,15
239370414,603964,2024-07-11 23:50:12,2024-07-12 00:13:47,Poza stacją,Poza stacją,24
239370466,603519,2024-07-11 23:50:38,2024-07-12 00:02:36,Drobnera / Dubois,Poza stacją,12
