UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
259728247,602303,2024-11-08 17:35:24,2024-11-09 00:46:13,Wyszyńskiego / Szczytnicka,Poza stacją,431
259735410,652061,2024-11-08 18:14:30,2024-11-09 14:50:04,Partyzantów / Okrzei,Poza stacją,1236
259757885,603420,2024-11-08 20:44:35,2024-11-09 01:58:51,Żeromskiego / Kluczborska,Żeromskiego / Kluczborska,314
259775310,604269,2024-11-08 23:48:29,2024-11-09 00:06:49,Kazimierza Wielkiego (Helios),Hallera / Odkrywców,18
259775519,604438,2024-11-08 23:50:58,2024-11-09 00:02:46,pl. Orląt Lwowskich,Młodych Techników,12
259775537,603448,2024-11-08 23:51:09,2024-11-09 00:02:58,pl. Orląt Lwowskich,Młodych Techników,12
259775818,604566,2024-11-08 23:54:59,2024-11-09 00:05:40,Wałbrzyska - pętla tramwajowa,Wysoka Nastrojowa,11
259775962,602393,2024-11-08 23:57:02,2024-11-09 00:10:57,Kutrzeby / Hubala,al. Armii Krajowej / Borowska,14
259776259,603737,2024-11-09 00:01:07,2024-11-09 00:11:25,Rondo Reagana,Świdnicka / Piłsudskiego (Hotel Scandic),10
259776366,603960,2024-11-09 00:02:58,2024-11-09 00:10:55,Szczęśliwa (Sky Tower),Plac Kościuszki (Renoma),8
259776379,603575,2024-11-09 00:03:09,2024-11-09 00:14:47,Rondo Reagana,Kościuszki / Komuny Paryskiej / Zgodna,12
259776460,603635,2024-11-09 00:04:27,2024-11-09 00:15:19,Wita Stwosza / Szewska,Łukasiewicza / Smoluchowskiego (PWr),11
259776503,602715,2024-11-09 00:05:11,2024-11-09 00:11:58,Świeradowska (Ferio Gaj ),Ślężna / Aleja Wiśniowa,7
259776556,602768,2024-11-09 00:05:53,2024-11-09 00:24:03,Wróblewskiego (ZOO),Traugutta / Kościuszki,18
259776643,602391,2024-11-09 00:07:26,2024-11-09 00:17:00,Rondo Reagana,Plac Uniwersytecki (UWr),10
259776921,602393,2024-11-09 00:11:31,2024-11-09 00:21:15,al. Armii Krajowej / Borowska,Dworzec Główny ,10
259776990,602715,2024-11-09 00:12:43,2024-11-09 00:24:10,Ślężna / Aleja Wiśniowa,Grabiszyńska / Stalowa,11
259777019,602053,2024-11-09 00:13:14,2024-11-09 00:18:01,Powstańcow Śląskich / Aleja Hallera,Aleja Hallera / Mielecka,5
259777076,602254,2024-11-09 00:14:10,2024-11-09 00:25:40,Żmigrodzka / Broniewskiego,Jedności Narodowej / Wyszyńskiego,12
259777125,602880,2024-11-09 00:15:08,2024-11-09 00:51:28,Nowowiejska / Górnickiego,Pilczycka / Kozanowska,36
259777139,602517,2024-11-09 00:15:19,2024-11-09 00:29:34,Świeradowska (Ferio Gaj ),"Dworzec Główny, południe",14
