UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
245937347,602804,2024-08-16 08:19:48,2024-08-18 07:19:39,Gnieźnieńska / Długa,Poza stacją,2820
245975572,652109,2024-08-16 13:03:43,2024-08-18 22:22:17,Drobnera / Plac Bema,Plac Świętego Macieja / Trzebnicka,3439
245992511,603320,2024-08-16 14:37:35,2024-08-18 02:42:21,Rynek,Poza stacją,2165
246068647,602681,2024-08-16 20:15:05,2024-08-18 09:42:08,Zwycięska / Agrestowa,Poza stacją,2247
246164594,603925,2024-08-17 13:38:33,2024-08-18 08:58:35,Legnicka (Park Magnolia),Poza stacją,1160
246186028,604432,2024-08-17 15:48:31,2024-08-18 13:43:37,Plac Dominikański (Galeria Dominikańska),Plac Dominikański (Galeria Dominikańska),1315
246231060,603244,2024-08-17 19:53:36,2024-08-18 15:46:41,Na Grobli (PWr - Geocentrum),Plac Grunwaldzki (DS Ołówek),1193
246253818,603791,2024-08-17 22:20:36,2024-08-18 00:05:47,Wita Stwosza / Szewska,Poza stacją,105
246254481,603049,2024-08-17 22:25:57,2024-08-18 00:05:15,Poza stacją,Poza stacją,99
246254854,602341,2024-08-17 22:29:13,2024-08-18 00:07:41,Szewska / Kazimierza Wielkiego ,Poza stacją,98
246255034,603513,2024-08-17 22:30:52,2024-08-18 00:05:18,al. Kochanowskiego / Kopernika,Partyzantów / Okrzei,94
246255882,603897,2024-08-17 22:38:28,2024-08-18 00:04:48,al. Kochanowskiego / Kopernika,Partyzantów / Okrzei,86
246258656,604090,2024-08-17 23:04:46,2024-08-18 00:40:50,Reymonta / Kleczkowska,Plac Legionów,96
246259117,603771,2024-08-17 23:09:09,2024-08-18 00:09:05,Poza stacją,Hubska / Prudnicka,60
246259118,604310,2024-08-17 23:09:09,2024-08-18 00:44:41,Prochowicka / Dolnobrzeska,Poza stacją,96
246260289,603190,2024-08-17 23:20:09,2024-08-18 00:02:08,Drobnera / Plac Bema,Marca Polo (Olimpia Port),42
246261040,602901,2024-08-17 23:28:03,2024-08-18 00:37:05,Powstańcow Śląskich / Aleja Hallera,Poza stacją,69
246261168,602813,2024-08-17 23:29:27,2024-08-18 00:11:51,Drobnera / Plac Bema,Drobnera / Plac Bema,42
246261581,602727,2024-08-17 23:33:54,2024-08-18 00:05:14,Obornicka / Bałtycka,Jagodzińska / Buforowa,31
246261992,603338,2024-08-17 23:37:58,2024-08-18 00:07:25,Szczęśliwa (Sky Tower),Grota-Roweckiego / Parafialna,29
246262282,604466,2024-08-17 23:40:46,2024-08-18 00:12:42,Rynek,Tyrmanda / Mińska,32
246262570,602106,2024-08-17 23:43:51,2024-08-18 00:02:09,al. Armii Krajowej / Borowska,al. Armii Krajowej / Borowska,18
246262728,602321,2024-08-17 23:45:44,2024-08-18 00:04:17,Ślężna / Kamienna (Uniw. Ekonomiczny),Kopycińskiego/Drabika,19
246262835,603240,2024-08-17 23:46:53,2024-08-18 00:02:53,Osobowicka - pętla tramwajowa,Na Ostatnim Groszu,16
