UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
233380558,603800,2024-06-10 23:06:56,2024-06-13 11:15:06,al. Armii Krajowej / Bardzka,Świeradowska (Ferio Gaj ),3608
233717550,603899,2024-06-12 18:05:25,2024-06-13 05:54:32,Kazimierza Wielkiego (Helios),Kazimierza Wielkiego (Helios),709
233717689,603474,2024-06-12 18:05:52,2024-06-13 07:58:48,Wałbrzyska - pętla tramwajowa,Poza stacją,833
233737883,603330,2024-06-12 19:21:00,2024-06-13 16:04:12,Aleja Hallera / Mielecka,Wałbrzyska - pętla tramwajowa,1243
233774846,602783,2024-06-12 22:55:01,2024-06-13 00:02:21,Plac Grunwaldzki (DS Ołówek),Nowowiejska / Jedności Narodowej,67
233774956,602185,2024-06-12 22:56:10,2024-06-13 00:02:10,Plac Grunwaldzki (DS Ołówek),Nowowiejska / Jedności Narodowej,66
233776378,603560,2024-06-12 23:11:14,2024-06-13 01:33:31,Aleja Hallera / Mielecka,Aleja Hallera / Mielecka,142
233779057,602374,2024-06-12 23:46:21,2024-06-13 00:04:27,Robotnicza / Fabryczna,Tyrmanda / Mińska,18
233779073,603788,2024-06-12 23:46:31,2024-06-13 00:07:51,Poza stacją,Powstańcow Śląskich / Aleja Hallera,21
233779197,602157,2024-06-12 23:48:25,2024-06-13 00:00:09,Piłsudskiego 13 od Jump Hall,Grabiszyńska / Aleja Hallera,12
233779356,603035,2024-06-12 23:50:55,2024-06-13 00:00:54,Norwida / Wyspiańskiego (PWr),Plac Uniwersytecki (UWr),10
233779359,603609,2024-06-12 23:50:58,2024-06-13 00:07:37,Nowowiejska / Górnickiego,Młodych Techników,17
233779394,603714,2024-06-12 23:51:24,2024-06-13 00:03:56,al. Armii Krajowej / Bardzka,Jagodzińska / Buforowa,13
233779417,602299,2024-06-12 23:51:35,2024-06-13 00:00:14,Krzycka / Aleja Karkonoska (Park Południowy),Wałbrzyska - pętla tramwajowa,9
233779469,602555,2024-06-12 23:52:14,2024-06-13 00:13:20,Krzycka / Aleja Karkonoska (Park Południowy),Czekoladowa / Wałbrzyska,21
233779604,602131,2024-06-12 23:54:21,2024-06-13 00:08:39,pl. Powstańców Wielkopolskich,Legnicka / Zachodnia ,14
233779659,602593,2024-06-12 23:55:10,2024-06-13 00:11:24,Hubska / Prudnicka,Powstańców Śląskich/Orla,16
233779678,602896,2024-06-12 23:55:32,2024-06-13 00:06:19,Kamienna / Tomaszowska,Powstańcow Śląskich / Aleja Hallera,11
233779680,602919,2024-06-12 23:55:33,2024-06-13 00:03:53,Poza stacją,Poza stacją,8
233779692,602111,2024-06-12 23:55:45,2024-06-13 00:13:39,Kazimierza Wielkiego (Helios),Kamienna / Borowska (Aquapark),18
233779713,602311,2024-06-12 23:56:04,2024-06-13 00:22:37,Poza stacją,Poza stacją,27
233779766,602970,2024-06-12 23:56:51,2024-06-13 00:14:15,Leśnica - pętla tramwajowa,Wojanowska / Arbuzowa ,17
233779784,603689,2024-06-12 23:57:08,2024-06-13 00:01:44,Świeradowska (Ferio Gaj ),Borowska (Uniw. Szpital Kliniczny),5
233779794,602166,2024-06-12 23:57:17,2024-06-13 00:06:43,Drobnera / Dubois,Młodych Techników,9
233779802,602037,2024-06-12 23:57:22,2024-06-13 00:13:09,Legnicka (Park Magnolia),Lotnicza / Bajana,16
233779832,603916,2024-06-12 23:57:49,2024-06-13 00:12:57,Legnicka (Park Magnolia),Lotnicza / Bajana,15
233779833,602685,2024-06-12 23:57:49,2024-06-13 00:05:56,Krakowska / Leroy Merlin,Opolska / pętla tramwajowa,8
233779883,603586,2024-06-12 23:58:37,2024-06-13 00:06:59,Kołłątaja / Podwale,Ślężna / Aleja Wiśniowa,8
233779896,603372,2024-06-12 23:58:44,2024-06-13 00:04:56,Plac Powstańców Śląskich,Plac Kościuszki (Renoma),6
233779899,602945,2024-06-12 23:58:49,2024-06-13 00:04:59,Krzycka / Aleja Karkonoska (Park Południowy),Wałbrzyska - pętla tramwajowa,6
233779945,602283,2024-06-12 23:59:47,2024-06-13 00:09:48,Rondo Reagana,Wróblewskiego (Teki),10
233779947,602691,2024-06-12 23:59:49,2024-06-13 00:05:22,Ślężna / Kamienna (Uniw. Ekonomiczny),Dworzec Główny ,6
233780035,602097,2024-06-13 00:01:23,2024-06-13 00:42:22,Zatorska / Królewska - pętla MPK,Zatorska / Królewska - pętla MPK,41
233780098,603827,2024-06-13 00:02:30,2024-06-13 00:13:10,Poza stacją,Legnicka / Zachodnia ,11
233780129,603877,2024-06-13 00:03:11,2024-06-13 00:03:50,Plac Kościuszki (Renoma),Plac Kościuszki (Renoma),1
233780148,602094,2024-06-13 00:03:31,2024-06-13 00:11:00,Nowowiejska / Górnickiego,Drobnera / Dubois,7
233780188,602799,2024-06-13 00:04:14,2024-06-13 00:04:40,Plac Kościuszki (Renoma),Plac Kościuszki (Renoma),0
233780189,602322,2024-06-13 00:04:14,2024-06-13 00:19:25,Zaporoska / Wielka / Krucza,Hallera / Odkrywców,15
233780204,604250,2024-06-13 00:04:31,2024-06-13 00:08:09,Lotnicza / Na Ostatnim Groszu,Lotnicza / Bajana,4
233780327,604241,2024-06-13 00:06:22,2024-06-13 00:16:17,Grabiszyńska / Magazynierska (Corte Verona),Pereca / Grabiszyńska,10
233780340,602855,2024-06-13 00:06:31,2024-06-13 00:14:44,Oporów (pętla tramwajowa),Hallera / Odkrywców,8
233780345,603964,2024-06-13 00:06:34,2024-06-13 00:08:29,Fosa Miejska ,Fosa Miejska ,2
233780379,604052,2024-06-13 00:07:02,2024-06-13 00:07:35,Grabiszyńska / Magazynierska (Corte Verona),Grabiszyńska / Magazynierska (Corte Verona),1
233780422,604440,2024-06-13 00:07:53,2024-06-13 00:16:25,Grabiszyńska / Magazynierska (Corte Verona),Pereca / Grabiszyńska,9
233780427,603997,2024-06-13 00:07:59,2024-06-13 00:17:31,Jedności Narodowej / Wyszyńskiego,Kraszewskiego / Trzebnicka,10
233780477,602157,2024-06-13 00:08:48,2024-06-13 00:11:46,Grabiszyńska / Aleja Hallera,Grabiszyńska / Magazynierska (Corte Verona),3
233780482,602434,2024-06-13 00:08:50,2024-06-13 00:14:46,Fosa Miejska ,Szczęśliwa (Sky Tower),6
233780525,603964,2024-06-13 00:09:37,2024-06-13 00:20:09,Fosa Miejska ,Plac Świętego Macieja / Trzebnicka,11
233780544,602915,2024-06-13 00:09:59,2024-06-13 00:10:38,Drobnera / Plac Bema,Drobnera / Plac Bema,1
233780607,602321,2024-06-13 00:11:35,2024-06-13 00:17:29,Graniczna / Strzegomska,Strzegomska / Estońska,6
233780876,603372,2024-06-13 00:16:32,2024-06-13 00:46:48,Plac Kościuszki (Renoma),Opolska / Siemianowicka,30
233780879,602530,2024-06-13 00:16:33,2024-06-13 00:25:36,pl. Orląt Lwowskich,Grabiszyńska / Stalowa,9
233780903,602515,2024-06-13 00:17:17,2024-06-13 00:26:14,Zaporoska / Grabiszyńska,Dyrekcyjna / Borowska (Wroclavia),9
233780936,602721,2024-06-13 00:17:49,2024-06-13 00:23:11,"Kosmonautów / Fieldorfa, szpital wojewódzki",Boguszowska / Kosmonautów,5
233780956,602321,2024-06-13 00:18:12,2024-06-13 00:32:42,Strzegomska / Estońska,Śrubowa / Strzegomska,15
233781006,603025,2024-06-13 00:19:22,2024-06-13 00:24:17,Nowowiejska / Wyszyńskiego,Poniatowskiego / Oleśnicka,5
233781032,603903,2024-06-13 00:19:57,2024-06-13 00:23:52,Poza stacją,Norwida / Wyspiańskiego (PWr),4
233781046,604573,2024-06-13 00:20:17,2024-06-13 00:24:42,Drobnera / Dubois,Reymonta / Kleczkowska,4
233781183,603907,2024-06-13 00:23:18,2024-06-13 00:29:44,Legnicka (Park Magnolia),Legnicka / Młodych Techników,6
233781192,604055,2024-06-13 00:23:44,2024-06-13 00:26:44,Wróblewskiego (ZOO),Wróblewskiego (Teki),3
233781208,603775,2024-06-13 00:24:00,2024-06-13 00:25:05,Nowowiejska / Górnickiego,Nowowiejska / Górnickiego,1
233781226,602488,2024-06-13 00:24:20,2024-06-13 00:43:01,Norwida / Wyspiańskiego (PWr),Rynek,19
233781237,603903,2024-06-13 00:24:33,2024-06-13 00:42:50,Norwida / Wyspiańskiego (PWr),Rynek,18
233781287,603636,2024-06-13 00:25:58,2024-06-13 00:36:18,Nowowiejska / Górnickiego,Aleja Kromera,10
233781297,603074,2024-06-13 00:26:14,2024-06-13 00:39:35,Ślężna / Kamienna (Uniw. Ekonomiczny),Poza stacją,13
233781302,602593,2024-06-13 00:26:25,2024-06-13 00:31:09,Powstańców Śląskich/Orla,Przyjaźni / Karkonoska,5
