UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
251473761,604323,2024-09-16 08:59:51,2024-09-23 11:11:39,Poza stacją,Kozanowska Pilczyce,10212
251546281,603088,2024-09-16 17:21:05,2024-09-23 18:02:20,Kopycińskiego/Drabika,Poza stacją,10121
251638830,604354,2024-09-17 09:35:18,2024-09-23 13:37:39,.RELOKACYJNA 2024,Poza stacją,8882
252030366,604305,2024-09-19 08:51:23,2024-09-23 08:55:32,Poza stacją,Poza stacją,5764
252480497,602189,2024-09-21 20:25:10,2024-09-23 22:13:59,Hubska / Prudnicka,Poza stacją,2989
252660683,602223,2024-09-22 23:10:42,2024-09-23 00:00:07,Legnicka / Wejherowska,pl. Powstańców Wielkopolskich,49
252661379,603345,2024-09-22 23:24:43,2024-09-23 00:07:35,Poza stacją,Poza stacją,43
252662168,604546,2024-09-22 23:44:36,2024-09-23 00:00:48,"Dworzec Główny, południe",Poza stacją,16
252662299,603392,2024-09-22 23:47:58,2024-09-23 00:00:23,"Paprotna / Obornicka, zajezdnia MPK",Czarnuszkowa/Waniliowa,12
252662310,602647,2024-09-22 23:48:14,2024-09-23 00:20:49,Poza stacją,Skarbowców / Wietrzna,33
252662389,602409,2024-09-22 23:50:21,2024-09-23 00:29:16,Poza stacją,Poza stacją,39
252662413,603575,2024-09-22 23:50:59,2024-09-23 00:04:38,Dyrekcyjna / Borowska (Wroclavia),Grota-Roweckiego / Parafialna,14
252662422,603384,2024-09-22 23:51:21,2024-09-23 00:07:47,Hallera / Odkrywców,Dworzec Główny ,16
252662547,603584,2024-09-22 23:54:35,2024-09-23 00:05:59,Plac Świętego Macieja / Trzebnicka,Na Grobli (PWr - Geocentrum),11
252662571,604484,2024-09-22 23:55:03,2024-09-23 00:12:33,Plac Strzegomski / Poznańska,Traugutta / Pułaskiego,18
252662574,602715,2024-09-22 23:55:07,2024-09-23 00:07:30,Nowowiejska / Wyszyńskiego,Traugutta / Pułaskiego,12
252662620,603482,2024-09-22 23:56:34,2024-09-23 00:00:41,Kościuszki / Pułaskiego,Poza stacją,4
252662690,604663,2024-09-22 23:58:07,2024-09-23 00:05:42,Legnicka / Wejherowska,Lotnicza / Bajana,8
252662701,604131,2024-09-22 23:58:24,2024-09-23 00:06:04,Poza stacją,Nowowiejska / Wyszyńskiego,8
252662924,603192,2024-09-23 00:04:11,2024-09-23 00:20:28,Plac Legionów,Poza stacją,16
252662942,603456,2024-09-23 00:04:46,2024-09-23 00:13:53,Powstańców Śląskich/Orla,Skarbowców / Wietrzna,9
252662986,603575,2024-09-23 00:06:00,2024-09-23 00:17:36,Grota-Roweckiego / Parafialna,Wysoka Nastrojowa,12
252663044,602715,2024-09-23 00:08:05,2024-09-23 00:25:40,Traugutta / Pułaskiego,Hubska / Prudnicka,18
252663071,602223,2024-09-23 00:08:58,2024-09-23 01:00:14,pl. Powstańców Wielkopolskich,Rynek,51
252663090,602278,2024-09-23 00:09:43,2024-09-23 00:19:48,Legnicka / Młodych Techników,Legnicka / Wejherowska,10
252663110,603458,2024-09-23 00:10:40,2024-09-23 00:19:09,Młodych Techników,Kazimierza Wielkiego (Helios),8
252663149,604662,2024-09-23 00:11:48,2024-09-23 00:17:01,Aleja Kromera,Poza stacją,5
252663160,602303,2024-09-23 00:12:16,2024-09-23 00:30:31,Nowowiejska / Jedności Narodowej,Poza stacją,18
252663212,602973,2024-09-23 00:13:48,2024-09-23 00:24:08,Poza stacją,Poza stacją,10
252663222,603741,2024-09-23 00:14:15,2024-09-23 00:39:37,Kazimierza Wielkiego (Helios),Nowowiejska / Jedności Narodowej,25
