UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
233324000,604225,2024-06-10 17:45:37,2024-06-11 07:01:04,Grapowa,Grapowa,795
233365995,603912,2024-06-10 20:58:31,2024-06-11 20:25:55,Kamienna / Borowska (Aquapark),Poza stacją,1407
233367217,602945,2024-06-10 21:06:40,2024-06-11 08:34:10,Jagodzińska / Buforowa,Poza stacją,688
233373211,602249,2024-06-10 21:51:38,2024-06-11 07:59:33,Kamienna / Borowska (Aquapark),Buforowa - Vivaldiego,608
233375083,603105,2024-06-10 22:07:44,2024-06-11 01:21:09,Drobnera / Plac Bema,Poza stacją,193
233375134,603892,2024-06-10 22:08:17,2024-06-11 00:56:21,Drobnera / Plac Bema,Poniatowskiego / Oleśnicka,168
233375983,602860,2024-06-10 22:15:46,2024-06-11 01:54:51,Stadion Olimpijski,Piaskowa / św. Ducha,219
233376002,602260,2024-06-10 22:15:56,2024-06-11 01:54:41,Stadion Olimpijski,Piaskowa / św. Ducha,219
233376719,602658,2024-06-10 22:22:51,2024-06-11 02:01:28,Żeromskiego / Kluczborska,Poza stacją,219
233381475,603060,2024-06-10 23:19:46,2024-06-11 00:05:33,Kościuszki / Komuny Paryskiej / Zgodna,Kościuszki / Komuny Paryskiej / Zgodna,46
233382144,604378,2024-06-10 23:30:31,2024-06-11 00:11:34,Plac Uniwersytecki (UWr),Żeromskiego / Kluczborska,41
233382295,602076,2024-06-10 23:33:11,2024-06-11 00:08:02,Rondo Reagana,Rondo Reagana,35
233382804,602403,2024-06-10 23:42:19,2024-06-11 00:01:46,"Paprotna / Obornicka, zajezdnia MPK",Czarnuszkowa/Waniliowa,19
233382810,602545,2024-06-10 23:42:23,2024-06-11 00:01:44,"Paprotna / Obornicka, zajezdnia MPK",Czarnuszkowa/Waniliowa,19
233383005,603964,2024-06-10 23:45:53,2024-06-11 01:51:55,Kopycińskiego/Drabika,Kopycińskiego/Drabika,126
233383013,602938,2024-06-10 23:45:58,2024-06-11 00:07:23,Drzewieckiego / Dedala,Grabiszyńska / Stalowa,21
233383017,603300,2024-06-10 23:46:02,2024-06-11 01:51:56,Kopycińskiego/Drabika,Kopycińskiego/Drabika,126
233383096,603082,2024-06-10 23:47:42,2024-06-11 00:01:55,Kamienna / Tomaszowska,Świeradowska / Krynicka,14
233383143,602405,2024-06-10 23:48:48,2024-06-11 00:07:51,Ślężna / Kamienna (Uniw. Ekonomiczny),Świeradowska (Ferio Gaj ),19
