UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
213574276,603431,2024-01-16 23:49:45,2024-01-17 00:01:34,Grota-Roweckiego / Parafialna,Wysoka Nastrojowa,12
213574480,602872,2024-01-17 00:01:02,2024-01-17 00:09:38,Śrubowa / Strzegomska,pl. Orląt Lwowskich,9
213574494,602863,2024-01-17 00:01:59,2024-01-17 00:17:35,Plac Strzegomski / Poznańska,Kołłątaja / Podwale,16
213574536,602053,2024-01-17 00:05:03,2024-01-17 00:19:33,Kazimierza Wielkiego (Helios),Kościuszki / Komuny Paryskiej / Zgodna,15
213574601,602145,2024-01-17 00:10:20,2024-01-17 00:20:05,Powstańców Śląskich/Orla,Zaporoska / Wielka / Krucza,10
213574616,602931,2024-01-17 00:11:27,2024-01-17 00:12:04,Powstańcow Śląskich / Aleja Hallera,Powstańcow Śląskich / Aleja Hallera,1
213574634,603952,2024-01-17 00:12:42,2024-01-17 00:24:59,Powstańcow Śląskich / Aleja Hallera,Bardzka / Piękna,12
213574773,603997,2024-01-17 00:24:05,2024-01-17 00:33:15,Łukasiewicza / Smoluchowskiego (PWr),Wróblewskiego (Teki),9
213574808,602660,2024-01-17 00:27:51,2024-01-17 00:40:13,Dworzec Główny ,al. Armii Krajowej / Borowska,12
213574846,603695,2024-01-17 00:31:33,2024-01-17 00:39:19,"Dworzec Główny, południe",Hubska / Prudnicka,8
213574851,602836,2024-01-17 00:32:14,2024-01-17 00:35:57,Poza stacją,Świdnicka / Piłsudskiego (Hotel Scandic),4
213574889,602027,2024-01-17 00:37:07,2024-01-17 01:06:40,Legnicka / Zachodnia ,Żelazna / Pereca,30
213574897,652108,2024-01-17 00:37:27,2024-01-17 01:11:23,Legnicka / Zachodnia ,Żelazna / Pereca,34
213574976,603922,2024-01-17 00:46:45,2024-01-17 01:04:33,Traugutta / Kościuszki,Hubska / Prudnicka,18
213575019,602091,2024-01-17 00:52:08,2024-01-17 01:01:10,Kazimierza Wielkiego (Helios),Poniatowskiego / Oleśnicka,9
213575120,603827,2024-01-17 01:01:23,2024-01-17 01:18:13,Jagiełły / Dmowskiego ,Śrubowa / Strzegomska,17
213575435,602660,2024-01-17 01:39:42,2024-01-17 01:58:05,al. Armii Krajowej / Borowska,Grabiszyńska / Stalowa,18
213575529,603953,2024-01-17 02:00:11,2024-01-17 02:31:29,Zaporoska / Grabiszyńska,Drobnera / Dubois,31
213575540,603410,2024-01-17 02:03:21,2024-01-17 02:16:19,Kościuszki / Pułaskiego,Rondo Reagana,13
213575691,603350,2024-01-17 02:52:17,2024-01-17 02:59:46,Gajowicka,Powstańców Śląskich/Orla,7
213575794,603303,2024-01-17 03:21:14,2024-01-17 03:37:54,pl. Powstańców Wielkopolskich,"Paprotna / Obornicka, zajezdnia MPK",17
213575833,602100,2024-01-17 03:36:25,2024-01-17 03:48:01,Dyrekcyjna / Borowska (Wroclavia),al. Armii Krajowej / Bardzka,12
213575870,602663,2024-01-17 03:57:54,2024-01-17 04:05:15,Kamienna / Borowska (Aquapark),Nyska / Jesionowa,7
213575921,603135,2024-01-17 04:18:06,2024-01-17 04:21:39,Karwińska / Opolska,Gazowa / Międzyleska,4
213575945,602680,2024-01-17 04:27:01,2024-01-17 04:35:44,Powstańcow Śląskich / Aleja Hallera,Zaporoska / Grabiszyńska,9
213575946,603622,2024-01-17 04:27:10,2024-01-17 04:36:47,Plac Powstańców Śląskich,Powstańców Śląskich/Orla,10
213575957,603601,2024-01-17 04:33:02,2024-01-17 04:38:10,Gliniana / Gajowa,Nyska / Jesionowa,5
213576001,603988,2024-01-17 04:45:07,2024-01-17 04:49:01,Poza stacją,al. Armii Krajowej / Tarnogajska,4
213576005,604278,2024-01-17 04:46:39,2024-01-17 04:53:40,Nyska / Piękna,Kamienna / Borowska (Aquapark),7
213576013,604569,2024-01-17 04:48:45,2024-01-17 04:55:43,"Dworzec Główny, południe",Ślężna / Kamienna (Uniw. Ekonomiczny),7
213576015,603179,2024-01-17 04:49:31,2024-01-17 04:59:32,al. Armii Krajowej / Tarnogajska,"Dworzec Główny, południe",10
213576022,602211,2024-01-17 04:51:56,2024-01-17 05:00:48,Pilczycka (Stadion Miejski),Kozanowska / Pilczycka,9
213576025,603735,2024-01-17 04:52:26,2024-01-17 05:02:41,Kutrzeby / Hubala,al. Karkonoska / Jeździecka,10
213576059,602211,2024-01-17 05:01:45,2024-01-17 05:21:01,Kozanowska / Pilczycka,"Paprotna / Obornicka, zajezdnia MPK",19
213576113,652107,2024-01-17 05:11:58,2024-01-17 05:17:52,Zaporoska / Wielka / Krucza,Grabiszyńska / Stalowa,6
213576153,602929,2024-01-17 05:20:24,2024-01-17 05:37:46,Grabiszyńska / Magazynierska (Corte Verona),"Dworzec Główny, południe",17
213576173,602814,2024-01-17 05:22:26,2024-01-17 05:32:33,Borowska (Uniw. Szpital Kliniczny),Powstańców Śląskich/Orla,10
213576312,603845,2024-01-17 05:41:14,2024-01-17 05:57:01,Kościuszki / Komuny Paryskiej / Zgodna,Wróblewskiego (ZOO),16
213576331,603525,2024-01-17 05:43:25,2024-01-17 05:49:03,Poza stacją,Młodych Techników,6
213576332,602428,2024-01-17 05:43:25,2024-01-17 05:51:52,al. Poprzeczna / stacja kolejowa,Koszarowa / UWr,8
