UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
245291146,602441,2024-08-12 19:23:03,2024-09-09 23:16:38,Poza stacją,Poza stacją,40554
250149786,603425,2024-09-07 16:10:01,2024-09-09 18:22:53,Rondo Reagana,al. Kochanowskiego / Śniadeckich ,3013
250234908,604009,2024-09-07 22:45:54,2024-09-09 23:13:32,Jedności Narodowej / Wyszyńskiego,pl. Orląt Lwowskich,2908
250293901,604069,2024-09-08 12:17:33,2024-09-09 08:53:48,Plac Powstańców Śląskich,Poza stacją,1236
250294201,602279,2024-09-08 12:19:15,2024-09-09 09:19:12,Popowicka / Rysia,Poza stacją,1260
250308565,604259,2024-09-08 13:46:39,2024-09-09 16:00:55,Poza stacją,Poza stacją,1574
250335429,603260,2024-09-08 16:12:54,2024-09-09 09:27:16,Kozanowska Pilczyce,Kozanowska Pilczyce,1034
250347974,602960,2024-09-08 17:12:22,2024-09-09 09:00:13,Stadion Olimpijski,Stadion Olimpijski,948
250408312,603717,2024-09-08 22:44:55,2024-09-09 02:44:31,Na Grobli (PWr - Geocentrum),Traugutta / Pułaskiego,240
250409482,603164,2024-09-08 22:59:50,2024-09-09 01:33:03,Sołtysowicka / Redycka,Rogowska / Zemska,153
250409881,603344,2024-09-08 23:05:42,2024-09-09 12:05:02,Grota-Roweckiego/Iwaszkiewicza,Grota-Roweckiego/Iwaszkiewicza,779
250409925,652101,2024-09-08 23:06:27,2024-09-09 00:00:21,Grota-Roweckiego/Iwaszkiewicza,Grota-Roweckiego/Iwaszkiewicza,54
250410357,602209,2024-09-08 23:12:54,2024-09-09 00:24:18,Kowalska/Lechitów,Kowalska/Lechitów,71
250411443,603718,2024-09-08 23:29:20,2024-09-09 12:18:52,Ślężna / Aleja Wiśniowa,Powstańcow Śląskich / Aleja Hallera,770
250412023,604669,2024-09-08 23:38:19,2024-09-09 00:10:41,"Dworzec Główny, południe",Drzewieckiego / Dedala,32
250412115,603281,2024-09-08 23:39:45,2024-09-09 00:17:47,Plac Uniwersytecki (UWr),Jagodzińska / Buforowa,38
250412397,603811,2024-09-08 23:45:14,2024-09-09 00:00:36,Zaporoska / Grabiszyńska,Drobnera / Dubois,15
250412437,603970,2024-09-08 23:45:54,2024-09-09 00:02:37,pl. Orląt Lwowskich,Hubska / Prudnicka,17
250412510,603458,2024-09-08 23:47:08,2024-09-09 00:15:47,pl. Orląt Lwowskich,Promenady Wrocławskie,29
250412521,603151,2024-09-08 23:47:16,2024-09-09 00:03:17,Traugutta / Pułaskiego,Olszewskiego / Spółdzielcza,16
250412545,603813,2024-09-08 23:47:39,2024-09-09 00:00:52,"Paprotna / Obornicka, zajezdnia MPK",Żeromskiego / Daszyńskiego,13
250412603,602184,2024-09-08 23:48:39,2024-09-09 00:03:11,Plac Uniwersytecki (UWr),Plac Strzegomski / Poznańska,15
250412625,603435,2024-09-08 23:49:12,2024-09-09 00:02:56,Sukielicka / Rogowska,Sukielicka / Rogowska,14
250412701,603527,2024-09-08 23:50:52,2024-09-09 00:03:18,Plac Uniwersytecki (UWr),Plac Strzegomski / Poznańska,12
250412713,603725,2024-09-08 23:50:59,2024-09-09 00:00:33,Kutrzeby / Hubala,Poza stacją,10
250412764,603375,2024-09-08 23:52:07,2024-09-09 00:06:08,Aleja Kromera,Krzywoustego - Rynek Psie Pole,14
250412776,603580,2024-09-08 23:52:18,2024-09-09 00:02:53,pl. Orląt Lwowskich,Sienkiewicza / Wyszyńskiego,11
250412807,604512,2024-09-08 23:52:51,2024-09-09 00:06:26,Fosa Miejska ,Nyska / Piękna,14
250412828,603419,2024-09-08 23:53:23,2024-09-09 00:01:36,Powstańców Śląskich/Orla,Wałbrzyska - pętla tramwajowa,8
250412843,603268,2024-09-08 23:53:41,2024-09-09 00:12:34,Legnicka (Park Magnolia),Strzegomska / Estońska,19
250412849,603729,2024-09-08 23:53:50,2024-09-09 00:12:31,Legnicka (Park Magnolia),Strzegomska / Estońska,19
250412854,604216,2024-09-08 23:53:54,2024-09-09 00:04:50,Kołłątaja / Podwale,Robotnicza / Fabryczna,11
250412891,603672,2024-09-08 23:54:53,2024-09-09 00:02:22,Bardzka / Piękna,Poza stacją,7
250412910,604270,2024-09-08 23:55:15,2024-09-09 00:30:44,Grabiszyńska / Stalowa,Plac Grunwaldzki (DS Ołówek),35
250412924,603211,2024-09-08 23:55:29,2024-09-09 00:04:43,Komandorska / Kamienna,Nyska / Piękna,9
250412935,602422,2024-09-08 23:55:40,2024-09-09 00:04:43,Komandorska / Kamienna,Nyska / Piękna,9
250412940,603667,2024-09-08 23:55:48,2024-09-09 00:00:51,Powstańcow Śląskich / Aleja Hallera,Aleja Hallera / Mielecka,5
250412973,602354,2024-09-08 23:56:26,2024-09-09 00:24:05,Przyjaźni,Nowodworska/Strzegomska,28
250412977,603043,2024-09-08 23:56:32,2024-09-09 00:13:17,Bezpieczna / Obornicka,Nowowiejska / Jedności Narodowej,17
250413015,602911,2024-09-08 23:57:23,2024-09-09 00:12:43,Poza stacją,Poza stacją,15
