UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
222400507,603970,2024-04-09 18:47:49,2024-04-16 12:31:09,Szczęśliwa (Sky Tower),Poza stacją,9703
222758062,602131,2024-04-11 18:16:52,2024-04-16 17:48:59,Dyrekcyjna / Borowska (Wroclavia),Piaskowa / św. Ducha,7172
223437193,604086,2024-04-15 14:20:07,2024-04-16 11:55:08,Kraszewskiego / Trzebnicka,Kraszewskiego / Trzebnicka,1295
223458050,603226,2024-04-15 16:11:26,2024-04-16 18:28:44,Poza stacją,Poza stacją,1577
223464493,602299,2024-04-15 16:41:40,2024-04-16 01:58:56,Nowowiejska / Górnickiego,Żeromskiego / Daszyńskiego,557
223478002,603991,2024-04-15 17:42:13,2024-04-16 09:04:21,Poza stacją,Wita Stwosza / Szewska,922
223485981,603835,2024-04-15 18:16:40,2024-04-16 07:23:47,Pilczycka / Kozanowska,Legnicka / Wejherowska,787
223487329,602106,2024-04-15 18:22:30,2024-04-16 00:09:25,Przyjaźni,Racławicka / Rymarska,347
223492873,604007,2024-04-15 18:47:38,2024-04-16 15:05:46,Szczęśliwa (Sky Tower),Drobnera / Dubois,1218
223508947,603676,2024-04-15 20:22:22,2024-04-16 09:52:40,Poza stacją,Poza stacją,810
223519826,602088,2024-04-15 22:04:40,2024-04-16 10:30:33,Pereca / Grabiszyńska,Drobnera / Dubois,746
223524045,603136,2024-04-15 23:17:44,2024-04-16 00:12:01,Hubska / Prudnicka,Hubska / Prudnicka,54
223524832,604545,2024-04-15 23:38:57,2024-04-16 00:03:49,Kazimierza Wielkiego (Helios),Olszewskiego / Spółdzielcza,25
223525253,602424,2024-04-15 23:52:47,2024-04-16 00:11:49,Plac Grunwaldzki (DS Ołówek),Plac Grunwaldzki (DS Ołówek),19
223525304,603874,2024-04-15 23:54:40,2024-04-16 00:05:38,Kazimierza Wielkiego (Helios),Kościuszki / Pułaskiego,11
223525332,604304,2024-04-15 23:55:55,2024-04-16 00:00:01,Dworzec Główny ,Kościuszki / Pułaskiego,4
223525333,602237,2024-04-15 23:55:55,2024-04-16 00:08:56,Młodych Techników,Zaporoska / Grabiszyńska,13
223525336,604556,2024-04-15 23:56:02,2024-04-16 00:03:11,Poniatowskiego / Oleśnicka,Plac Dominikański (Galeria Dominikańska),7
223525373,602121,2024-04-15 23:57:12,2024-04-16 00:11:02,Rondo Reagana,Plac Grunwaldzki (DS Ołówek),14
223525464,602681,2024-04-16 00:00:52,2024-04-16 00:03:50,Kościuszki / Pułaskiego,Dworzec Główny ,3
223525485,602434,2024-04-16 00:02:00,2024-04-16 00:03:40,Solskiego / al. Piastów,Solskiego / al. Piastów,2
223525486,604321,2024-04-16 00:02:07,2024-04-16 00:07:09,"Paprotna / Obornicka, zajezdnia MPK",Obornicka / Bałtycka,5
223525487,602543,2024-04-16 00:02:16,2024-04-16 00:03:49,Solskiego / al. Piastów,Solskiego / al. Piastów,2
223525511,602951,2024-04-16 00:03:43,2024-04-16 00:06:25,Kołłątaja / Podwale,Plac Dominikański (Galeria Dominikańska),3
223525525,602923,2024-04-16 00:04:16,2024-04-16 00:08:20,Solskiego / al. Piastów,Solskiego / al. Piastów,4
223525558,602772,2024-04-16 00:06:06,2024-04-16 00:06:29,Solskiego / al. Piastów,Solskiego / al. Piastów,0
223525580,602562,2024-04-16 00:06:49,2024-04-16 01:03:34,Solskiego / al. Piastów,Solskiego / al. Piastów,57
223525592,602434,2024-04-16 00:07:20,2024-04-16 00:07:43,Solskiego / al. Piastów,Solskiego / al. Piastów,0
223525594,603338,2024-04-16 00:07:23,2024-04-16 00:12:29,Drobnera / Dubois,Poniatowskiego / Oleśnicka,5
223525612,603493,2024-04-16 00:07:56,2024-04-16 00:15:57,Hubska / Prudnicka,Kościuszki / Pułaskiego,8
223525621,602941,2024-04-16 00:08:04,2024-04-16 00:12:46,Drobnera / Dubois,Poniatowskiego / Oleśnicka,5
223525629,602339,2024-04-16 00:08:15,2024-04-16 00:14:14,Solskiego / al. Piastów,Solskiego / al. Piastów,6
223525645,602434,2024-04-16 00:08:51,2024-04-16 01:02:53,Solskiego / al. Piastów,Solskiego / al. Piastów,54
223525789,604295,2024-04-16 00:15:02,2024-04-16 00:21:28,Plac Grunwaldzki / Polaka,Piaskowa / św. Ducha,6
223525812,604444,2024-04-16 00:15:57,2024-04-16 00:29:32,Krzywoustego - Rynek Psie Pole,Aleja Kromera,14
223525818,603120,2024-04-16 00:16:28,2024-04-16 00:24:04,Plac Legionów,Grabiszyńska / Stalowa,8
223525821,603874,2024-04-16 00:16:41,2024-04-16 00:28:25,Kościuszki / Pułaskiego,Rondo Reagana,12
223525875,602681,2024-04-16 00:20:02,2024-04-16 00:28:45,Dworzec Główny ,Plac Powstańców Śląskich,9
223525948,602424,2024-04-16 00:23:43,2024-04-16 00:27:22,Plac Grunwaldzki (DS Ołówek),Plac Grunwaldzki (DS Ołówek),4
223525952,603054,2024-04-16 00:23:48,2024-04-16 00:34:34,Borowska (Uniw. Szpital Kliniczny),Zwycięska / Agrestowa,11
223525973,604277,2024-04-16 00:24:36,2024-04-16 01:03:47,Legnicka / Zachodnia ,Pereca / Grabiszyńska,39
223525980,602075,2024-04-16 00:25:01,2024-04-16 00:25:26,Wita Stwosza / Szewska,Wita Stwosza / Szewska,0
223525999,602880,2024-04-16 00:25:56,2024-04-16 00:36:06,Wita Stwosza / Szewska,Poza stacją,10
223526167,602880,2024-04-16 00:36:40,2024-04-16 00:49:25,Poza stacją,Przyjaźni / Karkonoska,13
223526185,603355,2024-04-16 00:37:31,2024-04-16 00:48:20,Drobnera / Plac Bema,Dworzec Główny ,11
223526191,603350,2024-04-16 00:37:46,2024-04-16 00:45:32,Zwycięska / Agrestowa,Przyjaźni / Karkonoska,8
223526223,602100,2024-04-16 00:39:40,2024-04-16 00:56:07,Jagiełły / Dmowskiego ,Sienkiewicza / Piastowska,16
223526225,603069,2024-04-16 00:39:47,2024-04-16 00:55:50,Jagiełły / Dmowskiego ,Sienkiewicza / Piastowska,16
223526230,603205,2024-04-16 00:40:13,2024-04-16 00:47:21,Aleja Hallera / Mielecka,Pereca / Grabiszyńska,7
223526268,602107,2024-04-16 00:43:15,2024-04-16 00:51:45,Tyrmanda / Trawowa,Graniczna / Strzegomska,9
223526270,602741,2024-04-16 00:43:21,2024-04-16 00:51:35,Tyrmanda / Trawowa,Graniczna / Strzegomska,8
223526297,652102,2024-04-16 00:44:54,2024-04-16 00:45:32,Kamienna / Borowska (Aquapark),Poza stacją,1
223526321,602949,2024-04-16 00:46:13,2024-04-16 00:52:13,Kasprowicza / Syrokomli,Berenta / Kasprowicza,6
223526329,652102,2024-04-16 00:46:57,2024-04-16 00:56:09,Poza stacją,Poza stacją,9
223526332,603456,2024-04-16 00:47:21,2024-04-16 00:49:36,Lotnicza / Na Ostatnim Groszu,Na Ostatnim Groszu,2
223526427,603093,2024-04-16 00:53:10,2024-04-16 01:00:37,al. Armii Krajowej / Borowska,Świeradowska / Krynicka,7
223526436,602951,2024-04-16 00:53:34,2024-04-16 01:03:39,Plac Dominikański (Galeria Dominikańska),Rakowiecka,10
223526438,604128,2024-04-16 00:53:53,2024-04-16 01:05:14,Poza stacją,Poza stacją,11
223526531,602107,2024-04-16 01:01:03,2024-04-16 01:06:44,Graniczna / Strzegomska,Tyrmanda / Trawowa,6
223526533,602741,2024-04-16 01:01:10,2024-04-16 01:06:39,Graniczna / Strzegomska,Tyrmanda / Trawowa,5
223526652,603355,2024-04-16 01:10:25,2024-04-16 01:20:19,Dworzec Główny ,Pereca / Grabiszyńska,10
223526657,603718,2024-04-16 01:11:08,2024-04-16 01:31:15,Powstańcow Śląskich / Aleja Hallera,Poza stacją,20
223526662,604039,2024-04-16 01:11:42,2024-04-16 01:31:09,Powstańcow Śląskich / Aleja Hallera,Poza stacją,19
223526681,602011,2024-04-16 01:13:33,2024-04-16 01:19:42,Plac Strzegomski / Poznańska,Kazimierza Wielkiego (Helios),6
223526683,602613,2024-04-16 01:13:40,2024-04-16 01:16:44,Semaforowa,Mościckiego / Chińska ,3
223526699,602765,2024-04-16 01:14:36,2024-04-16 01:20:49,al. Armii Krajowej / Bardzka,Świeradowska (Ferio Gaj ),6
223526753,602127,2024-04-16 01:20:27,2024-04-16 01:29:48,Kamienna / Tomaszowska,Kościuszki / Komuny Paryskiej / Zgodna,9
223526754,603251,2024-04-16 01:20:33,2024-04-16 01:30:30,Bezpieczna / Obornicka,Reymonta / Kleczkowska,10
223526872,604556,2024-04-16 01:30:40,2024-04-16 02:00:56,Plac Dominikański (Galeria Dominikańska),Drobnera / Dubois,30
223526879,603023,2024-04-16 01:31:28,2024-04-16 01:51:34,Reymonta / Kleczkowska,Zaporoska / Wielka / Krucza,20
223526974,604266,2024-04-16 01:39:19,2024-04-16 01:45:49,Aleja Hallera / Mielecka,Grabiszyńska / Stalowa,7
223526975,602200,2024-04-16 01:39:20,2024-04-16 01:53:44,Partyzantów / Okrzei,Olszewskiego / Spółdzielcza,14
223526980,603764,2024-04-16 01:39:58,2024-04-16 01:49:18,Wita Stwosza / Szewska,Piaskowa / św. Ducha,9
223526982,602075,2024-04-16 01:40:12,2024-04-16 01:42:47,Wita Stwosza / Szewska,Wita Stwosza / Szewska,3
223526997,603817,2024-04-16 01:42:43,2024-04-16 01:43:40,Szewska / Kazimierza Wielkiego ,Szewska / Kazimierza Wielkiego ,1
223526999,604447,2024-04-16 01:43:00,2024-04-16 01:44:42,Kozanowska / Pilczycka,Kozanowska / Pilczycka,2
223527009,604168,2024-04-16 01:43:57,2024-04-16 01:45:15,Szewska / Kazimierza Wielkiego ,Szewska / Kazimierza Wielkiego ,1
223527010,603752,2024-04-16 01:43:59,2024-04-16 02:03:48,Bezpieczna / Obornicka,Kazimierza Wielkiego (Helios),20
223527018,604502,2024-04-16 01:44:38,2024-04-16 01:56:54,Drzewieckiego / Dedala,Legnicka (Park Magnolia),12
223527028,603777,2024-04-16 01:44:58,2024-04-16 01:49:05,Kozanowska / Pilczycka,Legnicka / Wejherowska,4
223527032,602373,2024-04-16 01:45:28,2024-04-16 01:55:04,Szewska / Kazimierza Wielkiego ,Poza stacją,10
223527078,604354,2024-04-16 01:50:39,2024-04-16 02:00:55,Piaskowa / św. Ducha,Drobnera / Dubois,10
