UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
262175536,602970,2024-11-29 17:02:29,2024-11-30 00:26:35,Dworzec Główny ,Dworzec Główny ,444
262218310,602582,2024-11-29 22:42:21,2024-11-30 08:32:27,Zaporoska / Grabiszyńska,Zaporoska / Grabiszyńska,590
262223342,603617,2024-11-29 23:47:21,2024-11-30 00:04:04,pl. Orląt Lwowskich,Ślężna / Aleja Wiśniowa,17
262223498,602561,2024-11-29 23:49:27,2024-11-30 00:01:40,Poza stacją,Plac Legionów,12
262223688,602855,2024-11-29 23:51:35,2024-11-30 00:03:51,Kamienna / Borowska (Aquapark),Piławska,12
262223896,602548,2024-11-29 23:54:29,2024-11-30 00:01:44,pl. Orląt Lwowskich,Dworzec Główny ,7
262224045,603417,2024-11-29 23:56:20,2024-11-30 00:13:23,"Dworzec Główny, południe",Zaporoska / Gajowicka,17
262224165,604640,2024-11-29 23:57:50,2024-11-30 00:09:13,Ostrowskiego,Poza stacją,11
262224202,603662,2024-11-29 23:58:24,2024-11-30 00:10:26,Jagiełły / Dmowskiego ,Popowicka / Niedźwiedzia,12
262224336,604116,2024-11-30 00:00:39,2024-11-30 00:28:11,Plac Strzegomski / Poznańska,Poza stacją,28
262224351,603241,2024-11-30 00:00:58,2024-11-30 00:06:45,"Dworzec Główny, południe",Poza stacją,6
262224385,602564,2024-11-30 00:01:30,2024-11-30 00:25:11,"Dworzec Główny, południe",Jagiełły / Dmowskiego ,24
262224437,604508,2024-11-30 00:02:17,2024-11-30 00:07:57,Dworzec Główny ,Hubska / Prudnicka,6
262224464,602912,2024-11-30 00:02:47,2024-11-30 00:14:51,Plac Powstańców Śląskich,Borowska (Uniw. Szpital Kliniczny),12
262224567,603524,2024-11-30 00:04:11,2024-11-30 00:22:06,Krzywoustego / Korona,Żmigrodzka / Broniewskiego,18
262224683,602816,2024-11-30 00:05:49,2024-11-30 00:14:16,pl. Orląt Lwowskich,Pereca / Grabiszyńska,8
262224687,602002,2024-11-30 00:05:56,2024-11-30 00:11:44,pl. Powstańców Wielkopolskich,Żeromskiego / Daszyńskiego,6
262224742,603244,2024-11-30 00:07:03,2024-11-30 00:11:34,Plac Dominikański (Galeria Dominikańska),Plac Powstańców Warszawy (Muzeum Narodowe),5
262224752,603020,2024-11-30 00:07:20,2024-11-30 00:19:07,Wróblewskiego (Teki),Plac Grunwaldzki / Polaka,12
262224920,603670,2024-11-30 00:10:15,2024-11-30 00:20:40,Bardzka / Piękna,Dworzec Główny ,10
262224969,603174,2024-11-30 00:11:02,2024-11-30 00:24:40,Olszewskiego / Spółdzielcza,Krakowska / Leroy Merlin,14
262225100,603150,2024-11-30 00:13:06,2024-11-30 00:18:35,Plac Powstańców Warszawy (Muzeum Narodowe),Rondo Reagana,5
262225140,603464,2024-11-30 00:13:39,2024-11-30 00:21:57,Grabiszyńska / Aleja Hallera,Krucza / Mielecka / Stalowa,8
262225148,603816,2024-11-30 00:13:47,2024-11-30 00:22:12,Grabiszyńska / Aleja Hallera,Krucza / Mielecka / Stalowa,8
262225161,603417,2024-11-30 00:14:05,2024-11-30 00:28:25,Zaporoska / Gajowicka,Ślężna / Kamienna (Uniw. Ekonomiczny),14
262225218,603244,2024-11-30 00:15:13,2024-11-30 00:31:19,Plac Powstańców Warszawy (Muzeum Narodowe),Sienkiewicza / Piastowska,16
262225237,602173,2024-11-30 00:15:34,2024-11-30 00:27:21,Sienkiewicza / Wyszyńskiego,al. Kochanowskiego / Kopernika,12
262225249,651245,2024-11-30 00:15:48,2024-11-30 00:38:32,Przyjaźni,Kopycińskiego/Drabika,23
262225281,603249,2024-11-30 00:16:18,2024-11-30 00:22:35,Poza stacją,Dworzec Główny ,6
262225288,602562,2024-11-30 00:16:26,2024-11-30 00:58:58,"Paprotna / Obornicka, zajezdnia MPK",Graniczna / Strzegomska,43
262225312,603452,2024-11-30 00:16:51,2024-11-30 00:36:23,al. Armii Krajowej / Bardzka,al. Armii Krajowej / Borowska,20
262225323,603899,2024-11-30 00:17:06,2024-11-30 00:37:11,Ślężna / Aleja Wiśniowa,Grota-Roweckiego/Iwaszkiewicza,20
