UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
214264035,602188,2024-01-26 20:30:12,2024-01-27 00:06:48,al. Karkonoska / Jeździecka,Krzycka / Aleja Karkonoska (Park Południowy),217
214275752,603827,2024-01-26 23:53:49,2024-01-27 00:03:13,Plac Świętego Macieja / Trzebnicka,Jedności Narodowej / Wyszyńskiego,9
214275990,603157,2024-01-26 23:59:06,2024-01-27 00:03:50,Dyrekcyjna / Borowska (Wroclavia),Komandorska / Kamienna,5
214276091,603665,2024-01-27 00:02:48,2024-01-27 00:03:25,Nyska / Piękna,Nyska / Piękna,1
214276099,603487,2024-01-27 00:03:02,2024-01-27 00:28:58,Powstańców Śląskich (Arkady Wrocławskie),Ślężna / pętla tramwajowa,26
214276154,603665,2024-01-27 00:04:34,2024-01-27 00:20:11,Nyska / Piękna,Wróblewskiego (Teki),16
214276302,603088,2024-01-27 00:08:51,2024-01-27 00:17:57,Plac Powstańców Śląskich,Bardzka / Piękna,9
214276463,652059,2024-01-27 00:12:59,2024-01-27 00:22:36,.RELOKACYJNA,Robotnicza / Fabryczna,10
214276500,602863,2024-01-27 00:13:53,2024-01-27 00:28:25,Kazimierza Wielkiego (Helios),Gliniana / Gajowa,15
214276560,602377,2024-01-27 00:15:30,2024-01-27 00:25:57,Dworzec Główny ,Wita Stwosza / Szewska,10
214276587,604197,2024-01-27 00:16:14,2024-01-27 00:20:24,Aleja Kromera,al. Brücknera / Kwidzyńska,4
214276603,604494,2024-01-27 00:16:51,2024-01-27 00:26:12,pl. Orląt Lwowskich,Kościuszki / Pułaskiego,9
214276650,602311,2024-01-27 00:18:10,2024-01-27 00:18:28,Poza stacją,Szewska / Kazimierza Wielkiego ,0
214276658,604218,2024-01-27 00:18:18,2024-01-27 00:36:33,Szewska / Kazimierza Wielkiego ,al. Kochanowskiego / Kopernika,18
214276672,652118,2024-01-27 00:18:38,2024-01-27 00:19:19,Szewska / Kazimierza Wielkiego ,Poza stacją,1
214276689,603849,2024-01-27 00:18:58,2024-01-27 00:36:46,Szewska / Kazimierza Wielkiego ,Poza stacją,18
214276698,602014,2024-01-27 00:19:12,2024-01-27 00:24:43,Poza stacją,Pereca / Grabiszyńska,6
214276718,604227,2024-01-27 00:19:36,2024-01-27 00:44:41,Olszewskiego / Spółdzielcza,al. Kochanowskiego / Śniadeckich ,25
214276723,603092,2024-01-27 00:19:53,2024-01-27 00:20:30,Szewska / Kazimierza Wielkiego ,Szewska / Kazimierza Wielkiego ,1
214276764,604380,2024-01-27 00:20:51,2024-01-27 00:36:55,Szewska / Kazimierza Wielkiego ,al. Kochanowskiego / Kopernika,16
214276854,603601,2024-01-27 00:23:07,2024-01-27 00:24:22,Piłsudskiego 13 od Jump Hall,Piłsudskiego 13 od Jump Hall,1
