UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
231330722,604020,2024-05-31 01:13:21,2024-06-18 15:19:50,Krzycka / Aleja Karkonoska (Park Południowy),Krzycka / Aleja Karkonoska (Park Południowy),26766
233921673,604155,2024-06-13 18:16:17,2024-06-18 21:34:13,Sienkiewicza / Wyszyńskiego,Szczęśliwa (Sky Tower),7398
234473403,604068,2024-06-16 17:30:56,2024-06-18 16:16:53,Grabiszyńska / Aleja Hallera,Grabiszyńska / Aleja Hallera,2806
234672273,602793,2024-06-17 18:29:14,2024-06-18 17:29:24,pl. Powstańców Wielkopolskich,Żeromskiego / Daszyńskiego,1380
234689275,603556,2024-06-17 19:31:58,2024-06-18 17:19:31,Kamienna / Borowska (Aquapark),Kamienna / Borowska (Aquapark),1308
234691499,604368,2024-06-17 19:40:41,2024-06-18 05:31:54,Plac Powstańców Śląskich,Poza stacją,591
234697620,603048,2024-06-17 20:05:13,2024-06-18 09:03:40,Nyska / Piękna,Poza stacją,778
234723876,604055,2024-06-17 22:25:56,2024-06-18 00:55:51,Poza stacją,Poza stacją,150
234724659,602217,2024-06-17 22:33:07,2024-06-18 02:33:56,Kościuszki / Komuny Paryskiej / Zgodna,Zaporoska / Grabiszyńska,241
234728525,604233,2024-06-17 23:07:49,2024-06-18 00:00:44,Szczęśliwa (Sky Tower),Grochowa / Jemiołowa,53
234729202,603383,2024-06-17 23:12:53,2024-06-18 01:05:12,Kościuszki / Pułaskiego,Dworzec Główny ,112
234731804,603246,2024-06-17 23:40:51,2024-06-18 00:24:06,"Paprotna / Obornicka, zajezdnia MPK",Rogowska / Zemska,43
234731870,652119,2024-06-17 23:41:57,2024-06-18 00:04:54,Stacyjna (Dworzec Mikołajów),Kraszewskiego / Trzebnicka,23
234731995,602282,2024-06-17 23:43:54,2024-06-18 00:05:03,Stacyjna (Dworzec Mikołajów),Kraszewskiego / Trzebnicka,21
